phrasal_verb|translation|exportedAt|status|knownAt|s1|s2|s3
come across|наткнуться на|2026-04-02|learning||I **came across** an old photo yesterday.|She **came across** as very friendly.|We **came across** a nice cafe on the way.
come along|идти вместе; продвигаться|2026-04-02|learning||Would you like to **come along** with us?|How is your project **coming along**?|**Come along**, we're going to be late!
come around|передумать; прийти в себя|2026-04-02|learning||She'll **come around** to the idea eventually.|He **came around** after a few minutes.|My parents finally **came around** to my plan.
come back|вернуться|2026-04-02|learning||When are you **coming back**?|He **came back** from holiday last week.|The memory **came back** to me suddenly.
come down with|заболеть|2026-04-02|learning||I think I'm **coming down with** a cold.|She **came down with** the flu last week.|He **came down with** a fever.
come in|войти|2026-04-02|learning||Please **come in** and sit down.|The train **came in** ten minutes late.|New information **came in** this morning.
come out|выйти; стать известным|2026-04-02|learning||Her new book **comes out** next month.|The truth **came out** in the end.|The photos **came out** very well.
come up|возникнуть|2026-04-02|learning||Something **came up** and I can't make it.|A problem **came up** at work today.|The topic **came up** during the meeting.
come up with|придумать|2026-04-02|learning||She **came up with** a brilliant idea.|Can you **come up with** a better plan?|He **came up with** the answer quickly.
count on|рассчитывать на|2026-04-02|learning||You can always **count on** me.|I'm **counting on** you to help.|She **counts on** her team for support.
crack down on|принять жёсткие меры|2026-04-02|learning||Police **cracked down on** illegal parking.|The school **cracked down on** bullying.|They **cracked down on** tax cheating.
cut back|сократить|2026-04-02|learning||We need to **cut back** on spending.|He **cut back** on sugar last month.|The company **cut back** on staff.
cut down on|сократить потребление|2026-04-02|learning||I'm trying to **cut down on** coffee.|She **cut down on** junk food.|You should **cut down on** screen time.
cut off|отрезать; отключить|2026-04-02|learning||They **cut off** the electricity.|She **cut off** all contact with him.|The village was **cut off** by the flood.
cut out|вырезать; прекратить|2026-04-02|learning||**Cut out** the noise, please!|She **cut out** pictures from a magazine.|He **cut out** sugar from his diet.
deal with|справляться с|2026-04-02|learning||How do you **deal with** stress?|I'll **deal with** this problem tomorrow.|She **deals with** customers every day.
do without|обойтись без|2026-04-02|learning||We can't **do without** the internet.|I'll have to **do without** a car for now.|She learned to **do without** luxury.
drop by|заскочить|2026-04-02|learning||Feel free to **drop by** anytime.|I'll **drop by** your office later.|She **dropped by** to say hello.
drop off|высадить; задремать|2026-04-02|learning||Can you **drop** me **off** at the station?|I **dropped off** during the film.|She **drops off** the kids at school.
drop out|бросить учёбу|2026-04-02|learning||He **dropped out** of university.|Many students **drop out** in the first year.|She never **dropped out**, she finished.
end up|оказаться в итоге|2026-04-02|learning||We **ended up** staying home.|He **ended up** in the wrong city.|If you don't study, you'll **end up** failing.
face up to|признать; принять|2026-04-02|learning||You need to **face up to** your problems.|She **faced up to** the truth.|He couldn't **face up to** his mistakes.
fall apart|развалиться|2026-04-02|learning||The old house is **falling apart**.|My shoes are **falling apart**.|Their marriage **fell apart** last year.
fall behind|отстать|2026-04-02|learning||Don't **fall behind** with your homework.|She **fell behind** the rest of the class.|We **fell behind** on payments.
fall for|влюбиться; попасться|2026-04-02|learning||She **fell for** him at first sight.|Don't **fall for** that old trick.|He **fell for** the scam online.
fall out|поссориться|2026-04-02|learning||They **fell out** over money.|She **fell out** with her best friend.|The brothers **fell out** years ago.
fall through|сорваться|2026-04-02|learning||The deal **fell through** at the last moment.|Our holiday plans **fell through**.|The sale **fell through** because of a loan.
figure out|разобраться; понять|2026-04-02|learning||I can't **figure out** this puzzle.|She **figured out** the answer quickly.|We need to **figure out** what to do next.
fill in|заполнить; ввести в курс дела|2026-04-02|learning||Please **fill in** this form.|Can you **fill** me **in** on what happened?|She **filled in** all the details.
fill out|заполнить анкету|2026-04-02|learning||You need to **fill out** an application.|He **filled out** the form in five minutes.|Please **fill out** your name and address.
fill up|наполнить доверху|2026-04-02|learning||**Fill up** the tank, please.|The room **filled up** quickly.|She **filled up** her glass with water.
find out|узнать; выяснить|2026-04-02|learning||I need to **find out** what time it starts.|She **found out** about the party.|Did you **find out** the answer?
freak out|запаниковать|2026-04-02|learning||Don't **freak out**, it's just a spider.|She **freaked out** when she saw the bill.|He **freaked out** before the exam.
get along|ладить|2026-04-02|learning||Do you **get along** with your neighbours?|They **get along** really well.|We don't **get along** at all.
get away|убежать; уехать отдохнуть|2026-04-02|learning||The thief **got away** in a black car.|We need to **get away** for a few days.|She wants to **get away** from the city.
get away with|избежать наказания|2026-04-02|learning||He always **gets away with** everything.|You won't **get away with** this.|She **got away with** not doing her homework.
get back|вернуться|2026-04-02|learning||When did you **get back** from Paris?|I'll **get back** to you tomorrow.|We **got back** home very late.
get by|сводить концы с концами|2026-04-02|learning||It's hard to **get by** on a low salary.|She **gets by** with help from her family.|We can **get by** without a car.
get down to|приступить к|2026-04-02|learning||Let's **get down to** business.|It's time to **get down to** work.|She finally **got down to** studying.
get in|войти; сесть в машину|2026-04-02|learning||**Get in** the car, we're late.|She **got in** through the back door.|What time did you **get in** last night?
get into|увлечься; попасть в|2026-04-02|learning||She **got into** yoga last year.|He **got into** a good university.|I'm **getting into** cooking lately.
get off|выйти из транспорта|2026-04-02|learning||We **get off** at the next stop.|She **got off** the bus near the park.|**Get off** at the third station.
get on|сесть в транспорт; ладить|2026-04-02|learning||**Get on** the bus quickly.|How are you **getting on** at work?|She **gets on** well with everyone.
get out|выбраться|2026-04-02|learning||Let's **get out** of here!|She **got out** of the car slowly.|He needs to **get out** more often.
get over|оправиться от|2026-04-02|learning||She **got over** the cold quickly.|He still hasn't **got over** the breakup.|You'll **get over** it in a few days.
get rid of|избавиться от|2026-04-02|learning||I want to **get rid of** these old books.|She **got rid of** her old phone.|We need to **get rid of** this junk.
get through|дозвониться; пережить|2026-04-02|learning||I can't **get through** to him by phone.|We'll **get through** this together.|She **got through** the exam somehow.
get together|собраться|2026-04-02|learning||Let's **get together** this weekend.|We **got together** with old friends.|The team **gets together** every Monday.
get up|встать|2026-04-02|learning||I **get up** at seven every morning.|She **got up** early for the meeting.|**Get up**, it's time for school!
give away|отдать бесплатно; выдать секрет|2026-04-02|learning||She **gave away** all her old clothes.|Don't **give away** the ending of the film!|They **gave away** free samples.
give back|вернуть|2026-04-02|learning||Please **give back** my pen.|She **gave back** the money she borrowed.|He never **gave back** my book.
give in|уступить|2026-04-02|learning||She finally **gave in** to his request.|Don't **give in** to pressure.|The kids begged and I **gave in**.
give off|выделять запах, тепло|2026-04-02|learning||The flowers **give off** a nice smell.|The fire **gives off** a lot of heat.|The factory **gives off** a terrible smell.
give out|раздать; закончиться|2026-04-02|learning||They **gave out** free tickets.|My legs **gave out** after the run.|The teacher **gave out** the tests.
give up|бросить; сдаться|2026-04-02|learning||She **gave up** smoking last year.|Don't **give up**, keep trying!|He **gave up** looking for his keys.
go ahead|начинать; действовать|2026-04-02|learning||**Go ahead**, I'm listening.|The project will **go ahead** as planned.|She **went ahead** and booked the tickets.
go away|уйти; уехать|2026-04-02|learning||**Go away**, I'm busy!|The pain will **go away** soon.|We're **going away** for the weekend.
go back|вернуться|2026-04-02|learning||Let's **go back** to the hotel.|I want to **go back** to that restaurant.|She **went back** to sleep.
go by|проходить; ориентироваться|2026-04-02|learning||Time **goes by** so fast.|We can't **go by** his words alone.|Two months **went by** without any news.
go down|снизиться|2026-04-02|learning||Prices **went down** this month.|The sun **goes down** at eight today.|The temperature **went down** last night.
go for|стремиться к; выбрать|2026-04-02|learning||I'll **go for** the cheapest option.|She **went for** a walk in the park.|He decided to **go for** it.
go off|сработать; испортиться|2026-04-02|learning||The alarm **went off** at six.|The milk has **gone off**.|A bomb **went off** in the city centre.
go on|продолжать; происходить|2026-04-02|learning||**Go on**, tell me more.|What's **going on** here?|The meeting **went on** for two hours.
go out|выйти; погаснуть|2026-04-02|learning||We **went out** for dinner last night.|The lights **went out** suddenly.|She **goes out** with friends every Friday.
go over|повторить; просмотреть|2026-04-02|learning||Let's **go over** the plan one more time.|She **went over** her notes before the exam.|The teacher **went over** the homework.
go through|пережить; просмотреть|2026-04-02|learning||She **went through** a difficult time.|I need to **go through** my emails.|He **went through** all the documents.
grow up|вырасти|2026-04-02|learning||Where did you **grow up**?|I **grew up** in a small town.|She wants to be a doctor when she **grows up**.
hand in|сдать|2026-04-02|learning||Please **hand in** your homework tomorrow.|She **handed in** her report on time.|He forgot to **hand in** the form.
hand out|раздать|2026-04-02|learning||The teacher **handed out** the tests.|They **handed out** flyers on the street.|She **handed out** candy to the kids.
hand over|передать|2026-04-02|learning||He **handed over** the keys to the buyer.|**Hand over** the documents, please.|She **handed over** her passport.
hang on|подождать; держаться|2026-04-02|learning||**Hang on**, I'll be right back.|**Hang on** tight, the road is bumpy.|Can you **hang on** for a minute?
hang out|проводить время|2026-04-02|learning||We **hung out** at the cafe all day.|I like to **hang out** with my friends.|Where do you usually **hang out**?
hang up|повесить трубку|2026-04-02|learning||She **hung up** the phone.|Don't **hang up**, I need to tell you something.|He **hung up** his coat on the hook.
hold back|сдержать|2026-04-02|learning||She tried to **hold back** her tears.|Don't **hold back**, tell me everything.|The police **held back** the crowd.
hold on|подождать; держаться|2026-04-02|learning||**Hold on**, I'll check for you.|**Hold on** to the railing.|Can you **hold on** a moment?
hold up|задержать; ограбить|2026-04-02|learning||Sorry, the traffic **held** me **up**.|Two men **held up** the bank.|The rain **held up** our plans.
hurry up|поторопиться|2026-04-02|learning||**Hurry up**, we'll miss the bus!|She told him to **hurry up**.|We need to **hurry up** and finish.
keep away|держаться подальше|2026-04-02|learning||**Keep away** from the edge!|She told the children to **keep away**.|**Keep away** from strangers.
keep on|продолжать|2026-04-02|learning||She **keeps on** making the same mistake.|**Keep on** trying, you'll succeed.|He **kept on** talking during the film.
keep up with|не отставать от|2026-04-02|learning||It's hard to **keep up with** the news.|She **keeps up with** all the latest trends.|I can't **keep up with** you, slow down!
kick off|начаться|2026-04-02|learning||The match **kicks off** at three.|The meeting **kicked off** with a speech.|Let's **kick off** with the first topic.
knock down|снести; сбить|2026-04-02|learning||They **knocked down** the old building.|The car nearly **knocked** him **down**.|The storm **knocked down** several trees.
knock out|нокаутировать; поразить|2026-04-02|learning||The boxer **knocked out** his opponent.|The view **knocked** me **out**.|The medicine **knocked** her **out** for hours.
lay off|уволить по сокращению|2026-04-02|learning||The factory **laid off** 200 workers.|She was **laid off** last month.|The company had to **lay off** staff.
leave out|пропустить; исключить|2026-04-02|learning||You **left out** an important detail.|Don't **leave** anyone **out**.|She **left out** sugar from the recipe.
let down|подвести; разочаровать|2026-04-02|learning||He **let** me **down** again.|Don't **let** your team **down**.|She felt **let down** by her friend.
let in|впустить|2026-04-02|learning||Can you **let** the cat **in**?|She **let** me **in** through the back door.|Don't **let** strangers **in**.
line up|выстроиться в очередь|2026-04-02|learning||People **lined up** outside the shop.|Please **line up** by the door.|The children **lined up** for lunch.
live up to|оправдать ожидания|2026-04-02|learning||The film didn't **live up to** the hype.|She **lived up to** her promise.|The hotel **lived up to** its reviews.
look after|заботиться о|2026-04-02|learning||Who **looks after** your cat?|She **looks after** her elderly parents.|Can you **look after** my bag?
look around|осмотреться|2026-04-02|learning||Let's **look around** the shop.|She **looked around** but saw nobody.|We **looked around** the old town.
look for|искать|2026-04-02|learning||I'm **looking for** my keys.|She's **looking for** a new job.|What are you **looking for**?
look forward to|ждать с нетерпением|2026-04-02|learning||I **look forward to** seeing you.|She **looks forward to** the holidays.|We're **looking forward to** the trip.
look into|расследовать|2026-04-02|learning||The police are **looking into** the case.|I'll **look into** it for you.|She **looked into** the problem.
look out|осторожно!|2026-04-02|learning||**Look out**! There's a car coming!|You need to **look out** for ice on the road.|**Look out** for pickpockets in the city.
look up|найти в словаре/интернете|2026-04-02|learning||**Look up** the word in the dictionary.|She **looked up** the recipe online.|I need to **look up** his phone number.
look up to|уважать; восхищаться|2026-04-02|learning||She **looks up to** her older sister.|Kids **look up to** their parents.|He **looks up to** his coach.
make for|направиться к|2026-04-02|learning||She **made for** the exit.|They **made for** the nearest shelter.|Let's **make for** the car park.
make out|разобрать; понять|2026-04-02|learning||I can't **make out** what he's saying.|She could barely **make out** the sign.|Can you **make out** the writing?
make up|выдумать; помириться; накраситься|2026-04-02|learning||He **made up** the whole story.|They argued but **made up** the next day.|She **made up** her face for the party.
make up for|компенсировать|2026-04-02|learning||I'll **make up for** the lost time.|He **made up for** his mistake.|Nothing can **make up for** the delay.
mess up|испортить; напортачить|2026-04-02|learning||I **messed up** the report.|Don't **mess up** this chance.|She **messed up** her hair in the rain.
miss out|упустить|2026-04-02|learning||You'll **miss out** if you don't come.|I **missed out** on the sale.|Don't **miss out** on this opportunity.
mix up|перепутать|2026-04-02|learning||I always **mix up** their names.|She **mixed up** the dates.|Don't **mix up** these two bottles.
move in|въехать в жильё|2026-04-02|learning||We **moved in** last week.|She's **moving in** with her boyfriend.|When are you **moving in**?
move on|двигаться дальше|2026-04-02|learning||Let's **move on** to the next topic.|She **moved on** after the breakup.|It's time to **move on**.
move out|выехать из жилья|2026-04-02|learning||He **moved out** of his parents' house.|We need to **move out** by Friday.|She **moved out** last month.
pass away|скончаться|2026-04-02|learning||Her grandmother **passed away** last year.|He **passed away** peacefully in his sleep.|The old man **passed away** at 92.
pass out|потерять сознание|2026-04-02|learning||She **passed out** from the heat.|He **passed out** during the exam.|I almost **passed out** when I saw the bill.
pay back|вернуть долг|2026-04-02|learning||I'll **pay** you **back** on Friday.|She **paid back** every penny.|When can you **pay** me **back**?
pay off|окупиться; выплатить|2026-04-02|learning||All the hard work **paid off**.|She **paid off** her student loan.|The investment finally **paid off**.
pick on|придираться|2026-04-02|learning||Stop **picking on** your little brother.|The bully **picked on** the new kid.|Why do you always **pick on** me?
pick out|выбрать|2026-04-02|learning||She **picked out** a nice dress.|Can you **pick out** the right one?|He **picked out** a gift for her.
pick up|поднять; забрать; подхватить|2026-04-02|learning||Can you **pick up** the kids from school?|She **picked up** Spanish very quickly.|He **picked up** the phone and called.
point out|указать на|2026-04-02|learning||She **pointed out** a mistake in the text.|I'd like to **point out** one problem.|He **pointed out** that we were late.
pull off|осуществить успешно|2026-04-02|learning||She **pulled off** a great performance.|They **pulled off** the deal.|I don't think he can **pull it off**.
pull out|выйти из; вытащить|2026-04-02|learning||He **pulled out** of the project.|She **pulled out** a book from her bag.|The car **pulled out** of the parking lot.
pull over|остановиться на обочине|2026-04-02|learning||The police told him to **pull over**.|She **pulled over** to check the map.|Let's **pull over** and take a break.
pull through|выкарабкаться|2026-04-02|learning||The doctor said she'll **pull through**.|He **pulled through** after the surgery.|We'll **pull through** this crisis.
push on|продолжать несмотря на трудности|2026-04-02|learning||We need to **push on** despite the rain.|She **pushed on** with her studies.|Let's **push on** and finish today.
put away|убрать на место|2026-04-02|learning||**Put away** your toys, please.|She **put away** the dishes.|He **put away** money every month.
put down|положить; унизить|2026-04-02|learning||**Put down** your phone and listen.|He always **puts** her **down** in public.|She **put down** the heavy bag.
put off|отложить; оттолкнуть|2026-04-02|learning||Don't **put off** your homework.|The smell **put** me **off** my food.|We **put off** the meeting until Friday.
put on|надеть; включить|2026-04-02|learning||**Put on** your jacket, it's cold.|She **put on** some music.|He **put on** weight over the winter.
put out|потушить; причинить неудобство|2026-04-02|learning||The firefighters **put out** the fire.|I don't want to **put** you **out**.|She **put out** the candle before bed.
put up with|мириться с; терпеть|2026-04-02|learning||I can't **put up with** this noise.|She **puts up with** a lot at work.|How do you **put up with** him?
run away|убежать|2026-04-02|learning||The dog **ran away** from home.|She **ran away** as a teenager.|Don't **run away** from your problems.
run into|случайно встретить; столкнуться|2026-04-02|learning||I **ran into** my old teacher today.|We **ran into** some problems.|She **ran into** him at the airport.
run out|закончиться|2026-04-02|learning||We've **run out** of milk.|Time is **running out**.|The printer **ran out** of paper.
run over|переехать; затянуться|2026-04-02|learning||A car nearly **ran over** the cat.|The meeting **ran over** by an hour.|He **ran over** the main points again.
save up|накопить|2026-04-02|learning||I'm **saving up** for a new laptop.|She **saved up** enough for a holiday.|They **saved up** money for years.
see off|проводить|2026-04-02|learning||We went to the airport to **see** her **off**.|He **saw off** his guests at the door.|She **saw** them **off** with a big smile.
sell out|распродать|2026-04-02|learning||The concert **sold out** in an hour.|Tickets **sold out** very quickly.|The shop **sold out** of bread.
send out|разослать|2026-04-02|learning||She **sent out** invitations last week.|They **sent out** emails to everyone.|The company **sent out** a notice.
set off|отправиться в путь|2026-04-02|learning||We **set off** early in the morning.|They **set off** for the mountains.|She **set off** on her journey alone.
set out|отправиться; намереваться|2026-04-02|learning||He **set out** to prove them wrong.|We **set out** at dawn.|She **set out** her plans clearly.
set up|создать; настроить|2026-04-02|learning||She **set up** her own business.|Can you help me **set up** the computer?|They **set up** a meeting for Monday.
settle down|осесть; успокоиться|2026-04-02|learning||He wants to **settle down** and start a family.|**Settle down**, class!|They **settled down** in a small village.
settle for|довольствоваться|2026-04-02|learning||Don't **settle for** less than you deserve.|She **settled for** a smaller flat.|He didn't **settle for** second place.
show off|хвастаться|2026-04-02|learning||Stop **showing off** in front of everyone.|He loves to **show off** his new car.|She **showed off** her dancing skills.
show up|появиться|2026-04-02|learning||She **showed up** an hour late.|Only three people **showed up**.|He never **showed up** to the meeting.
shut down|выключить; закрыть|2026-04-02|learning||The factory **shut down** last year.|Please **shut down** your computer.|The website **shut down** for repairs.
shut up|замолчать|2026-04-02|learning||Can you **shut up** for a minute?|He told them to **shut up**.|She wouldn't **shut up** about her trip.
sign up|записаться; зарегистрироваться|2026-04-02|learning||I **signed up** for a gym membership.|She **signed up** for the course online.|**Sign up** before all spots are taken.
sit down|садиться|2026-04-02|learning||Please **sit down** and relax.|She **sat down** next to me.|Let's **sit down** and talk about it.
slow down|замедлить|2026-04-02|learning||**Slow down**, you're driving too fast.|Business has **slowed down** this month.|She told him to **slow down** and rest.
sort out|решить проблему; разобраться|2026-04-02|learning||We need to **sort out** this mess.|She **sorted out** the paperwork.|I'll **sort** it **out** by tomorrow.
speak up|говорить громче; высказаться|2026-04-02|learning||Can you **speak up**? I can't hear you.|She **spoke up** against the plan.|Don't be afraid to **speak up**.
speed up|ускорить|2026-04-02|learning||Can you **speed up** a bit?|The factory **sped up** production.|We need to **speed up** the process.
split up|расстаться; разделиться|2026-04-02|learning||They **split up** two months ago.|Let's **split up** into two groups.|The band **split up** in 2020.
stand by|поддерживать; быть наготове|2026-04-02|learning||I'll always **stand by** you.|The ambulance is **standing by**.|She **stood by** her decision.
stand for|означать; отстаивать|2026-04-02|learning||What does "UN" **stand for**?|I won't **stand for** this behaviour.|The letters **stand for** "World Health."
stand out|выделяться|2026-04-02|learning||Her red dress **stood out** in the crowd.|He **stands out** as the best player.|This work really **stands out**.
stand up|встать|2026-04-02|learning||Please **stand up** when the teacher enters.|She **stood up** and left the room.|He **stood up** to give her his seat.
start over|начать заново|2026-04-02|learning||The file was lost, so I had to **start over**.|Let's **start over** from the beginning.|She **started over** in a new city.
step down|уйти в отставку|2026-04-02|learning||The CEO **stepped down** last week.|She **stepped down** from her position.|He plans to **step down** next year.
stick to|придерживаться|2026-04-02|learning||**Stick to** the plan.|She always **sticks to** her word.|I try to **stick to** a healthy diet.
stop by|заехать|2026-04-02|learning||I'll **stop by** after work.|She **stopped by** to say hello.|Feel free to **stop by** anytime.
take after|быть похожим на родственника|2026-04-02|learning||She **takes after** her mother.|He **takes after** his father in looks.|The boy **takes after** his grandfather.
take apart|разобрать на части|2026-04-02|learning||He **took apart** the old radio.|She **took** the engine **apart**.|Can you **take apart** this shelf?
take away|забрать; унести|2026-04-02|learning||Please **take away** the dirty plates.|The police **took** him **away**.|Can I get a coffee to **take away**?
take back|вернуть; взять слова обратно|2026-04-02|learning||I want to **take back** what I said.|She **took** the dress **back** to the shop.|He **took back** his promise.
take down|записать; снять|2026-04-02|learning||Let me **take down** your number.|They **took down** the old poster.|She **took down** notes during the talk.
take in|приютить; обмануть; усвоить|2026-04-02|learning||She **took in** a stray cat.|He was **taken in** by the scam.|There's too much to **take in** at once.
take off|снять; взлететь; стать популярным|2026-04-02|learning||**Take off** your shoes at the door.|The plane **took off** on time.|Her career **took off** after the show.
take on|взять на себя; нанять|2026-04-02|learning||She **took on** extra work this month.|The company **took on** ten new staff.|Don't **take on** more than you can handle.
take out|вынуть; пригласить куда-то|2026-04-02|learning||He **took out** his wallet and paid.|She **took** him **out** for dinner.|I need to **take out** some cash.
take over|взять под контроль|2026-04-02|learning||The new boss **took over** in January.|A big company **took over** the firm.|Can you **take over** while I'm away?
take to|полюбить; привыкнуть|2026-04-02|learning||The kids **took to** the new teacher.|She **took to** swimming right away.|He never **took to** city life.
talk into|уговорить|2026-04-02|learning||She **talked** me **into** going to the party.|He **talked** them **into** buying the car.|Don't let him **talk** you **into** it.
talk out of|отговорить|2026-04-02|learning||I **talked** her **out of** quitting.|He **talked** me **out of** buying it.|She **talked** him **out of** the idea.
tell off|отчитать; отругать|2026-04-02|learning||The teacher **told** him **off** for being late.|She **told off** the noisy neighbours.|My mum **told** me **off** for lying.
think over|обдумать|2026-04-02|learning||I need time to **think** it **over**.|She **thought over** the offer carefully.|Let me **think** it **over** and call you.
throw away|выбросить|2026-04-02|learning||Don't **throw away** those boxes.|She **threw away** old newspapers.|He **threw away** his chance.
throw up|вырвать|2026-04-02|learning||She felt sick and **threw up**.|The child **threw up** after the ride.|He **threw up** everything he ate.
top up|пополнить|2026-04-02|learning||I need to **top up** my phone.|Can you **top up** my glass?|She **topped up** her travel card.
turn around|развернуться; изменить к лучшему|2026-04-02|learning||**Turn around** and face me.|The company **turned around** after the crisis.|She **turned around** and walked away.
turn down|отклонить; убавить|2026-04-02|learning||She **turned down** the job offer.|Can you **turn down** the music?|He **turned down** the invitation.
turn into|превратиться в|2026-04-02|learning||The rain **turned into** snow.|She **turned into** a great leader.|The house was **turned into** a hotel.
turn off|выключить|2026-04-02|learning||**Turn off** the lights when you leave.|She **turned off** the TV.|Don't forget to **turn off** the oven.
turn on|включить|2026-04-02|learning||**Turn on** the radio, please.|She **turned on** her laptop.|He **turned on** the heating.
turn out|оказаться; прийти на мероприятие|2026-04-02|learning||It **turned out** to be a great party.|Many people **turned out** for the concert.|The weather **turned out** fine.
turn over|перевернуть; передать|2026-04-02|learning||She **turned over** the page.|He **turned** the company **over** to his son.|**Turn over** and go back to sleep.
turn up|появиться; сделать громче|2026-04-02|learning||He **turned up** two hours late.|Can you **turn up** the volume?|My lost keys **turned up** under the sofa.
use up|израсходовать|2026-04-02|learning||We've **used up** all the sugar.|She **used up** her holiday days.|Don't **use up** all the hot water.
wake up|проснуться; разбудить|2026-04-02|learning||I **wake up** at six every day.|The noise **woke** me **up**.|She **woke up** feeling much better.
warm up|разогреть; размяться|2026-04-02|learning||Let me **warm up** the soup.|The players **warmed up** before the game.|The weather is **warming up** at last.
wash up|помыть посуду|2026-04-02|learning||I'll **wash up** after dinner.|She **washed up** all the plates.|It's your turn to **wash up**.
watch out|быть осторожным|2026-04-02|learning||**Watch out**! The floor is wet.|You should **watch out** for pickpockets.|**Watch out** for cars when you cross.
wear off|выветриться; пройти|2026-04-02|learning||The pain will **wear off** in an hour.|The effect of the medicine **wore off**.|The excitement **wore off** quickly.
wear out|износить; вымотать|2026-04-02|learning||My shoes are **worn out**.|The long walk **wore** me **out**.|These tyres **wear out** fast.
wind down|расслабиться; свернуть|2026-04-02|learning||I like to **wind down** with a book.|The party started to **wind down** at midnight.|She needs time to **wind down** after work.
wind up|оказаться; разозлить|2026-04-02|learning||We **wound up** eating pizza again.|He always **winds** me **up**.|She **wound up** in the wrong town.
wipe out|уничтожить; стереть|2026-04-02|learning||The storm **wiped out** the village.|He **wiped out** all the data.|Dinosaurs were **wiped out** millions of years ago.
work on|работать над|2026-04-02|learning||She's **working on** a new project.|I need to **work on** my English.|He **worked on** the car all weekend.
work out|тренироваться; решиться; вычислить|2026-04-02|learning||She **works out** at the gym every day.|Everything **worked out** in the end.|Can you **work out** the total?
work through|проработать проблему|2026-04-02|learning||We need to **work through** these issues.|She **worked through** her feelings.|Let's **work through** it step by step.
wrap up|завершить; укутаться|2026-04-02|learning||Let's **wrap up** the meeting.|**Wrap up** warm, it's freezing outside.|She **wrapped up** the project on time.
write down|записать|2026-04-02|learning||**Write down** your phone number.|She **wrote down** the address.|I always **write down** new words.
ask out|пригласить на свидание|2026-04-02|learning||He finally **asked** her **out**.|She was too shy to **ask** him **out**.|Would you ever **ask out** a stranger?
back up|поддержать; сдать назад; сделать копию|2026-04-02|learning||Can you **back up** your car a bit?|She **backed** me **up** in the meeting.|Don't forget to **back up** your files.
blow up|взорвать(ся); надуть; разозлиться|2026-04-02|learning||The balloon **blew up** in his face.|They **blew up** the old bridge.|She **blew up** at him for being late.
bring about|вызвать; привести к|2026-04-02|learning||The new law **brought about** many changes.|What **brought about** this decision?|Technology **brought about** a revolution.
