word|translation|category|exportedAt|status|knownAt|s1|s2|s3|note
in particular|в частности||2026-04-02|learning|I like music, **in particular** jazz.|One issue **in particular** needs attention.|She enjoys art, **in particular** painting.||
in conclusion|в заключение||2026-04-02|learning|**In conclusion**, the project was successful.|**In conclusion**, we need a new strategy.|**In conclusion**, I'd like to thank everyone.||
to sum up|подводя итог||2026-04-02|learning|**To sum up**, there are three main issues.|**To sum up**, the results were positive.|**To sum up**, we need more research.||
overall|в целом||2026-04-02|learning|**Overall**, the experience was positive.|**Overall**, sales went up this year.|**Overall**, she did a good job.||
in short|коротко говоря||2026-04-02|learning|**In short**, we failed.|**In short**, the answer is no.|**In short**, everything went wrong.||
all in all|в целом; всё вместе||2026-04-02|learning|**All in all**, it was a great trip.|**All in all**, the year was productive.|**All in all**, I'm satisfied with the result.||
on the whole|в целом||2026-04-02|learning|**On the whole**, I agree with you.|**On the whole**, the team played well.|**On the whole**, the plan worked.||
first of all|прежде всего||2026-04-02|learning|**First of all**, let me introduce myself.|**First of all**, we need to agree on the budget.|**First of all**, check the instructions.||
then / next|затем; далее||2026-04-02|learning|**Then**, we moved on to the second topic.|First do this, **then** do that.|**Next**, add the sugar and mix.||
finally / lastly|наконец||2026-04-02|learning|**Finally**, I want to thank my parents.|**Lastly**, let's discuss the timeline.|**Finally**, we reached an agreement.||
meanwhile|тем временем||2026-04-02|learning|She was cooking. **Meanwhile**, he set the table.|**Meanwhile**, the other team scored two goals.|The boss left. **Meanwhile**, we continued working.||
eventually|в конечном счёте||2026-04-02|learning|**Eventually**, she found a job.|We **eventually** agreed on a price.|He **eventually** admitted his mistake.||
at first|сначала; поначалу||2026-04-02|learning|**At first**, it seemed impossible.|**At first**, I didn't understand the rules.|**At first**, she was nervous but then relaxed.||
that's why|вот почему||2026-04-02|learning|I was sick. **That's why** I missed the meeting.|She studied hard. **That's why** she passed.|It's cold outside. **That's why** I'm wearing a coat.||
as a consequence|как следствие||2026-04-02|learning|He broke the rules. **As a consequence**, he was fired.|**As a consequence**, the plan was abandoned.|She missed the deadline. **As a consequence**, she lost the client.||
in other words|другими словами||2026-04-02|learning|He's not coming. **In other words**, the plan is off.|She's exhausted. **In other words**, she needs rest.|**In other words**, you disagree?||
that is to say|то есть||2026-04-02|learning|She's bilingual — **that is to say**, she speaks two languages.|The shop closes early, **that is to say**, at five.|He's a vegetarian, **that is to say**, he doesn't eat meat.||
to put it simply|проще говоря||2026-04-02|learning|**To put it simply**, we ran out of money.|**To put it simply**, the system doesn't work.|**To put it simply**, it was a disaster.||
on the contrary|наоборот||2026-04-11|learning||**On the contrary**, I think it's great.|He is not lazy. **On the contrary**, he works hard.|**On the contrary**, the results were positive.|
instead|вместо этого||2026-04-02|learning|I didn't go to the gym. **Instead**, I went for a walk.|Don't complain. **Instead**, suggest a solution.|She didn't cry. **Instead**, she smiled.||
apart from|кроме; помимо||2026-04-02|learning|**Apart from** English, she speaks French.|**Apart from** the weather, the trip was great.|**Apart from** a few mistakes, the essay is good.||
in spite of / despite|несмотря на||2026-04-02|learning|**In spite of** the rain, we went out.|**Despite** being tired, she kept working.|He smiled **in spite of** the pain.||
although / though|хотя||2026-04-02|learning|**Although** it was cold, she wore a dress.|I liked the film **though** it was long.|**Although** he's young, he's very mature.||
due to|из-за; вследствие||2026-04-02|learning|The flight was cancelled **due to** fog.|**Due to** high demand, we're sold out.|She was absent **due to** illness.||
owing to|по причине; из-за||2026-04-02|learning|The match was postponed **owing to** bad weather.|**Owing to** a lack of funding, the project was cancelled.|He retired **owing to** poor health.||
according to|согласно; по словам||2026-04-02|learning|**According to** the report, sales are up.|**According to** the weather forecast, it'll rain.|**According to** her, the meeting is at two.||
as far as ... is concerned|что касается||2026-04-02|learning|**As far as** I'm concerned, the deal is off.|**As far as** money is concerned, we're fine.|**As far as** quality is concerned, it's excellent.||
regardless of|независимо от||2026-04-02|learning|She goes running **regardless of** the weather.|**Regardless of** the outcome, we tried our best.|He'll do it **regardless of** what you say.||
in order to|для того чтобы||2026-04-02|learning|She woke up early **in order to** catch the train.|**In order to** succeed, you need patience.|He moved **in order to** be closer to work.||
so as to|чтобы||2026-04-02|learning|She spoke quietly **so as to** not wake the baby.|He left early **so as to** avoid traffic.|They trained hard **so as to** win the match.||
so that|чтобы; для того чтобы||2026-04-02|learning|I'll write it down **so that** I don't forget.|She saved money **so that** she could travel.|Speak up **so that** everyone can hear.||
as a matter of fact|на самом деле||2026-04-11|learning||**As a matter of fact**, I agree with you.|He is, **as a matter of fact**, very smart.|**As a matter of fact**, she was there too.|
in the meantime|тем временем||2026-04-11|learning||The food is cooking. **In the meantime**, set the table.|She's busy. **In the meantime**, I'll wait.|**In the meantime**, let's have some tea.|
as well as|а также||2026-04-11|learning||She speaks French **as well as** English.|He is kind **as well as** smart.|**As well as** being fun, it's useful.|
not only... but also|не только... но и||2026-04-11|learning||She is **not only** smart **but also** funny.|He **not only** works hard **but also** helps others.|It's **not only** cheap **but also** good quality.|
in comparison to|по сравнению с||2026-04-11|learning||This is small **in comparison to** the other.|**In comparison to** last year, sales are up.|Her work is great **in comparison to** his.|
on condition that|при условии что||2026-04-11|learning||I'll help you **on condition that** you try.|She agreed **on condition that** he pay half.|You can go **on condition that** you're back by ten.|
to begin with|для начала; во-первых||2026-04-11|learning||**To begin with**, let me explain the rules.|**To begin with**, the plan was simple.|There were, **to begin with**, only five people.|
above all|прежде всего||2026-04-11|learning||**Above all**, be honest with yourself.|She is kind, smart, and **above all**, fair.|**Above all**, safety comes first.|
in any case|в любом случае||2026-04-11|learning||**In any case**, we need to leave now.|I'm not sure, but **in any case** I'll try.|**In any case**, the answer is no.|
for this reason|по этой причине||2026-04-11|learning||She was tired. **For this reason**, she stayed home.|**For this reason**, we changed the plan.|He was late. **For this reason**, he missed the bus.|
as soon as|как только||2026-04-11|learning||Call me **as soon as** you arrive.|**As soon as** she saw him, she smiled.|I'll start **as soon as** I'm ready.|
in the same way|таким же образом||2026-04-11|learning||He solved it **in the same way** as before.|She works **in the same way** every day.|**In the same way**, the second test was easy.|
what is more|более того||2026-04-11|learning||He is smart. **What is more**, he is kind.|The hotel is cheap. **What is more**, it's clean.|**What is more**, she speaks three languages.|
by contrast|в отличие от; напротив||2026-04-11|learning||She loves the city. **By contrast**, he prefers the country.|**By contrast**, the new version is much faster.|The first was boring. **By contrast**, the second was fun.|
to conclude|в заключение||2026-04-11|learning||**To conclude**, the project was a success.|**To conclude**, I'd like to thank everyone.|**To conclude**, the results speak for themselves.|
likewise|аналогично; также||2026-04-11|learning||She was kind, and **likewise** her sister.|The food was great. **Likewise**, the service.|He is tall, and his brother is **likewise**.|
assuming that|при условии что; если||2026-04-11|learning||**Assuming that** it doesn't rain, we'll go.|We can finish today, **assuming that** we start now.|**Assuming that** you agree, we'll proceed.|
