group|description|exportedAt|status|knownAt|s1|s2|s3
ask / inquire|ask — спрашивать; inquire — справляться (формал.)|2026-04-26|learning||Can I **ask** you a question?|She **inquired** about the position.|He **asked** for directions.
answer / reply / respond|answer — ответить; reply — ответить (на сообщение); respond — реагировать|2026-04-26|learning||She **answered** the phone.|He **replied** to my email.|How will the market **respond**?
break / smash / shatter|break — ломать; smash — разбить; shatter — разбить вдребезги|2026-04-26|learning||He **broke** the glass.|She **smashed** the window with a hammer.|The vase **shattered** on the floor.
fix / repair / mend|fix — починить (общее); repair — отремонтировать; mend — заштопать|2026-04-26|learning||Can you **fix** my computer?|The mechanic **repaired** the car.|She **mended** the torn shirt.
show / display / demonstrate|show — показать; display — выставить; demonstrate — показать на примере|2026-04-26|learning||Let me **show** you the photos.|The shop **displays** new items in the window.|He **demonstrated** how to use it.
hide / conceal|hide — прятать; conceal — скрывать|2026-04-26|learning||She **hid** the gift in the closet.|He tried to **conceal** his anger.|The cat **hid** under the bed.
choose / pick / select|choose — выбирать; pick — выбирать (быстро); select — отбирать (формал.)|2026-04-26|learning||I'll **choose** the red one.|**Pick** any card.|The team **selected** five players.
buy / purchase|buy — купить; purchase — приобрести (формал.)|2026-04-26|learning||I want to **buy** a new phone.|She **purchased** the property last year.|He **bought** flowers for his wife.
get / receive / obtain|get — получить (общее); receive — получить (формал.); obtain — получить (с усилием)|2026-04-26|learning||I **got** your message.|She **received** the package.|He **obtained** a visa.
give / provide / offer|give — давать; provide — обеспечивать; offer — предлагать|2026-04-26|learning||She **gave** me a present.|We **provide** training for new staff.|He **offered** her a job.
make / create / produce|make — делать; create — создавать (творческое); produce — производить|2026-04-26|learning||She **made** a cake.|He **created** a beautiful painting.|The factory **produces** cars.
think / believe / suppose|think — думать; believe — верить (сильнее); suppose — полагать (предполагать)|2026-04-26|learning||I **think** he's right.|She **believes** in him.|I **suppose** you're tired.
know / understand / realize|know — знать; understand — понимать; realize — осознавать|2026-04-26|learning||I **know** the answer.|Do you **understand** the question?|She **realized** her mistake.
remember / recall|remember — помнить; recall — вспоминать (формал.)|2026-04-26|learning||I can't **remember** his name.|She **recalled** the events of that day.|Do you **remember** me?
go / leave / depart|go — идти; leave — уезжать; depart — отправляться (формал.)|2026-04-26|learning||I have to **go** now.|We're **leaving** tomorrow.|The train **departs** at noon.
come / arrive / return|come — приходить; arrive — прибывать; return — возвращаться|2026-04-26|learning||She **came** home late.|We **arrived** at the airport.|He **returned** from his trip.
find / discover / locate|find — находить (случайно); discover — открывать (новое); locate — находить (искомое)|2026-04-26|learning||I **found** my keys.|Scientists **discovered** a new planet.|We **located** the lost dog.
need / require|need — нуждаться; require — требовать (формал.)|2026-04-26|learning||I **need** more time.|This job **requires** experience.|She **needs** help.
want / wish / desire|want — хотеть; wish — желать; desire — желать сильно|2026-04-26|learning||I **want** a coffee.|I **wish** I were taller.|She **desires** success.
like / love / adore|like — нравиться; love — любить; adore — обожать|2026-04-26|learning||I **like** chocolate.|I **love** my family.|She **adores** her grandchildren.
hate / loathe / despise|hate — ненавидеть; loathe — испытывать отвращение; despise — презирать|2026-04-26|learning||I **hate** waiting in line.|She **loathes** spiders.|He **despises** dishonest people.
help / assist / support|help — помогать; assist — содействовать (формал.); support — поддерживать|2026-04-26|learning||Can you **help** me?|The nurse **assisted** the doctor.|We **support** local businesses.
work / labor|work — работать; labor — трудиться (тяжело)|2026-04-26|learning||She **works** at a hospital.|He **labored** in the fields.|I **work** from home.
walk / stroll / wander / march|walk — идти; stroll — прогуливаться; wander — бродить; march — маршировать|2026-04-26|learning||We **walk** to school every day.|They **strolled** through the park.|She **wandered** around the town.
run / sprint / jog|run — бежать; sprint — бежать со всех ног; jog — бежать трусцой|2026-04-26|learning||She **runs** every morning.|He **sprinted** to catch the bus.|I **jog** in the park on weekends.
talk / chat / discuss|talk — разговаривать; chat — болтать; discuss — обсуждать (серьёзно)|2026-04-26|learning||We **talked** for hours.|They **chatted** over coffee.|We **discussed** the project.
shout / yell / scream|shout — кричать; yell — орать; scream — визжать (от страха/боли)|2026-04-26|learning||He **shouted** her name across the field.|She **yelled** at the kids.|She **screamed** when she saw the spider.
whisper / mumble / mutter|whisper — шептать; mumble — бормотать (невнятно); mutter — ворчать|2026-04-26|learning||She **whispered** the secret in his ear.|He **mumbled** something I didn't understand.|She **muttered** under her breath.
laugh / giggle / chuckle|laugh — смеяться; giggle — хихикать; chuckle — посмеиваться|2026-04-26|learning||We all **laughed** at his joke.|The girls **giggled** in the corner.|He **chuckled** quietly to himself.
cry / weep / sob|cry — плакать; weep — лить слёзы (поэт.); sob — рыдать|2026-04-26|learning||The baby **cried** all night.|She **wept** silently.|He **sobbed** at the funeral.
