idiom|translation|exportedAt|status|knownAt|s1|s2|s3|note
call it a day|закончить на сегодня|2026-04-02|learning||I'm tired, let's **call it a day**.|We **called it a day** at five o'clock.|After six hours, they decided to **call it a day**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
cut corners|экономить на качестве|2026-04-02|learning||They **cut corners** to save money.|Don't **cut corners** on safety.|The builder **cut corners** and the roof leaks.|Neutral / business. Делать что-то небрежно ради экономии времени или денег. Часто негативный оттенок. "They cut corners on safety".
get out of hand|выйти из-под контроля|2026-04-02|learning||The party **got out of hand**.|Things are **getting out of hand**.|The situation **got out of hand** quickly.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
go the extra mile|приложить дополнительные усилия|2026-04-02|learning||She always **goes the extra mile** for her clients.|If you **go the extra mile**, people will notice.|He **went the extra mile** to help us.|Business / motivational. Делать больше чем требуется. Положительный оттенок. "She always goes the extra mile".
in the same boat|в одной лодке; в одинаковом положении|2026-04-02|learning||We're all **in the same boat** with this problem.|Don't complain — we're **in the same boat**.|Students and teachers are **in the same boat** here.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
it's not rocket science|это не высшая математика|2026-04-02|learning||Come on, **it's not rocket science**.|Following a recipe **isn't rocket science**.|The instructions are simple — **it's not rocket science**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
keep your chin up|не унывай|2026-04-02|learning||**Keep your chin up**, things will improve.|She told me to **keep my chin up**.|It's hard, but try to **keep your chin up**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
miss the boat|упустить возможность|2026-04-02|learning||If you don't apply now, you'll **miss the boat**.|I **missed the boat** on that deal.|Don't **miss the boat** — sign up today.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
on the same page|на одной волне; понимать одинаково|2026-04-02|learning||Let's make sure we're **on the same page**.|Are we all **on the same page** about the plan?|I want to get **on the same page** with you.|Business / neutral. Понимать одинаково. Часто в работе. "Let's make sure we are on the same page".
pull someone's leg|разыгрывать|2026-04-02|learning||Are you serious or **pulling my leg**?|He loves **pulling people's legs**.|She was just **pulling your leg**, don't worry.|Informal. Разыгрывать, шутить. "Are you pulling my leg?" = ты шутишь? Не "тянуть за ногу".
ring a bell|что-то знакомое|2026-04-02|learning||Does the name Tom Harris **ring a bell**?|That song **rings a bell** but I can't remember it.|The address didn't **ring a bell**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
see eye to eye|сходиться во мнении|2026-04-02|learning||We don't always **see eye to eye**.|They **see eye to eye** on most things.|My boss and I rarely **see eye to eye**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
speak of the devil|лёгок на помине|2026-04-02|learning||**Speak of the devil** — here he comes!|Oh, **speak of the devil**!|We were just talking about you — **speak of the devil**!|Informal. Когда упомянутый человек появляется. "We were just talking about you — speak of the devil!"
stab someone in the back|нанести удар в спину|2026-04-02|learning||I can't believe he **stabbed me in the back**.|She **stabbed her friend in the back**.|Watch out, he might **stab you in the back**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
take it with a grain of salt|относиться скептически|2026-04-02|learning||**Take** his advice **with a grain of salt**.|I'd **take** that review **with a grain of salt**.|**Take** online comments **with a grain of salt**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
the last straw|последняя капля|2026-04-02|learning||His rude comment was **the last straw**.|That mistake was **the last straw** for the boss.|Missing the deadline was **the last straw**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
throw in the towel|сдаться|2026-04-02|learning||After three attempts, she **threw in the towel**.|Don't **throw in the towel** yet!|He wanted to **throw in the towel** but kept going.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
time flies|время летит|2026-04-02|learning||**Time flies** when you're having fun.|I can't believe it's December — **time flies**!|**Time flies** — she's already ten years old.|Neutral. Время летит быстро. "Time flies when you are having fun".
up in the air|неопределённо; не решено|2026-04-02|learning||Our holiday plans are still **up in the air**.|The project is **up in the air** right now.|Everything is **up in the air** until Friday.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
a blessing in disguise|нет худа без добра|2026-04-02|learning||Losing that job was **a blessing in disguise**.|The delay turned out to be **a blessing in disguise**.|It seemed bad at first but it was **a blessing in disguise**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
add fuel to the fire|подливать масла в огонь|2026-04-02|learning||His comment just **added fuel to the fire**.|Don't **add fuel to the fire** by arguing back.|The article **added fuel to the fire**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
back to square one|вернуться к началу|2026-04-02|learning||The plan failed, so it's **back to square one**.|We're **back to square one** with this project.|If this doesn't work, we go **back to square one**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
bark up the wrong tree|обратиться не по адресу|2026-04-02|learning||If you think I did it, you're **barking up the wrong tree**.|She was **barking up the wrong tree** with that theory.|You're **barking up the wrong tree** — ask Tom instead.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
bend over backwards|из кожи вон лезть|2026-04-02|learning||She **bent over backwards** to help us.|They'll **bend over backwards** for good customers.|I **bent over backwards** to make it work.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
better late than never|лучше поздно, чем никогда|2026-04-02|learning||You finally cleaned your room — **better late than never**!|He apologized after a week. **Better late than never**.|**Better late than never**, I suppose.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
bite the bullet|стиснуть зубы и сделать|2026-04-02|learning||I just **bit the bullet** and went to the dentist.|Sometimes you have to **bite the bullet**.|She **bit the bullet** and asked for a raise.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
blow off steam|выпустить пар|2026-04-02|learning||I go running to **blow off steam**.|He needed to **blow off steam** after work.|Let's go out and **blow off some steam**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
break a leg|ни пуха ни пера|2026-04-02|learning||You've got the audition today — **break a leg**!|**Break a leg** at the concert tonight!|She told him to **break a leg** before the show.|Informal. Театральное "ни пуха ни пера". Перед выступлением/экзаменом/важным событием. Не воспринимай буквально — это пожелание удачи.
bring to the table|предложить; привнести|2026-04-02|learning||What do you **bring to the table**?|She **brings** a lot of experience **to the table**.|Each member **brings** something different **to the table**.|Business / formal. Подходит для рабочей среды и презентаций. Часто используется на встречах и в деловой переписке.
burn the midnight oil|работать допоздна|2026-04-02|learning||She's been **burning the midnight oil** all week.|I had to **burn the midnight oil** before the exam.|They **burned the midnight oil** to finish the project.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
by the skin of your teeth|еле-еле; на волоске|2026-04-02|learning||I passed the exam **by the skin of my teeth**.|We caught the train **by the skin of our teeth**.|She survived **by the skin of her teeth**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
cross that bridge when you come to it|решать проблемы по мере поступления|2026-04-02|learning||Don't worry about that now — we'll **cross that bridge when we come to it**.|Let's **cross that bridge when we come to it**.|I'll **cross that bridge when I come to it**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
cut to the chase|перейти к сути|2026-04-02|learning||Let's **cut to the chase** — what do you want?|**Cut to the chase**, we don't have much time.|She likes to **cut to the chase** in meetings.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
down to earth|приземлённый|2026-04-02|learning||She's very famous but really **down to earth**.|I like him because he's so **down to earth**.|Despite her success, she remains **down to earth**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
get cold feet|струсить; испугаться|2026-04-02|learning||She **got cold feet** before the wedding.|Don't **get cold feet** now!|He **got cold feet** about the parachute jump.|Informal. Внезапно струсить, отказаться от плана. Особенно перед свадьбой, важным решением. "I got cold feet at the last minute".
get the ball rolling|запустить процесс|2026-04-02|learning||Let's **get the ball rolling** on this project.|She **got the ball rolling** with a great idea.|Who's going to **get the ball rolling**?|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
give someone the benefit of the doubt|дать шанс; поверить на слово|2026-04-02|learning||I'll **give him the benefit of the doubt** this time.|Let's **give her the benefit of the doubt**.|She deserves **the benefit of the doubt**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
go back to the drawing board|начать сначала; пересмотреть|2026-04-02|learning||That plan didn't work — let's **go back to the drawing board**.|We had to **go back to the drawing board**.|Time to **go back to the drawing board**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
hang in there|держись!|2026-04-02|learning||**Hang in there**, it'll get better.|**Hang in there**, you're almost done.|Things are tough, but just **hang in there**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
have a lot on your plate|быть очень занятым|2026-04-02|learning||She **has a lot on her plate** right now.|I can't help — I've **got a lot on my plate**.|He always **has a lot on his plate** at work.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
hit the ground running|взяться за дело с ходу|2026-04-02|learning||She **hit the ground running** at her new job.|We need to **hit the ground running** on Monday.|He **hit the ground running** after the holiday.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
in a nutshell|в двух словах|2026-04-02|learning||**In a nutshell**, we need more money.|That's the whole story **in a nutshell**.|**In a nutshell**, the project failed.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
it takes two to tango|в ссоре виноваты оба|2026-04-02|learning||Don't blame only her — **it takes two to tango**.|The argument was both their fault — **it takes two to tango**.|Remember, **it takes two to tango**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
jump on the bandwagon|следовать за модой|2026-04-02|learning||Everyone's **jumping on the bandwagon** now.|She **jumped on the bandwagon** with that trend.|Don't just **jump on the bandwagon** — think for yourself.|Neutral. Присоединиться к популярному движению или мнению. "Everyone is jumping on the bandwagon".
keep your fingers crossed|держать кулачки|2026-04-02|learning||**Keep your fingers crossed** for me!|I've **got my fingers crossed** for the result.|She **kept her fingers crossed** during the exam.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
kill two birds with one stone|убить двух зайцев|2026-04-02|learning||I'll go to the bank and the shop — **kill two birds with one stone**.|She **killed two birds with one stone** by combining the trips.|Let's **kill two birds with one stone**.|Neutral. Решить две задачи одним действием. "Drop off the kids on my way to work — kills two birds".
leave no stone unturned|перевернуть всё вверх дном|2026-04-02|learning||Police **left no stone unturned** in the search.|She **left no stone unturned** looking for the document.|We'll **leave no stone unturned** to find the answer.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
let sleeping dogs lie|не ворошить прошлое|2026-04-02|learning||It's best to **let sleeping dogs lie**.|Don't bring that up again — just **let sleeping dogs lie**.|I decided to **let sleeping dogs lie**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
make ends meet|сводить концы с концами|2026-04-02|learning||It's hard to **make ends meet** on one salary.|She works two jobs to **make ends meet**.|They struggle to **make ends meet** every month.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
no pain no gain|без труда не выловишь рыбку|2026-04-02|learning||Keep going — **no pain, no gain**!|She believes in **no pain, no gain**.|**No pain, no gain** — that's his motto.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
on thin ice|на тонком льду; в опасном положении|2026-04-02|learning||You're **on thin ice** with the boss after that mistake.|He's been **on thin ice** since the argument.|One more absence and you'll be **on thin ice**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
play it by ear|действовать по обстоятельствам|2026-04-02|learning||I don't have a plan — I'll **play it by ear**.|Let's just **play it by ear** tomorrow.|She prefers to **play it by ear** rather than plan.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
pull strings|использовать связи|2026-04-02|learning||He **pulled strings** to get the job.|She **pulled some strings** to get us tickets.|You'll need to **pull strings** to get in.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
put all your eggs in one basket|поставить всё на одну карту|2026-04-02|learning||Don't **put all your eggs in one basket**.|She **put all her eggs in one basket** with that investment.|It's risky to **put all your eggs in one basket**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
read between the lines|читать между строк|2026-04-02|learning||You need to **read between the lines**.|She **read between the lines** and understood.|Try to **read between the lines** of his email.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
sit on the fence|занимать нейтральную позицию|2026-04-02|learning||Stop **sitting on the fence** and make a decision.|He's been **sitting on the fence** for weeks.|She can't keep **sitting on the fence**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
sleep on it|переспать с этой мыслью|2026-04-02|learning||Don't decide now — **sleep on it**.|I need to **sleep on it** before I answer.|She asked me to **sleep on it** overnight.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
spill the beans|проболтаться|2026-04-02|learning||Who **spilled the beans** about the party?|She **spilled the beans** by accident.|Don't **spill the beans** to anyone!|Informal. Выдать секрет (синоним "let the cat out of the bag"). "Don't spill the beans!" = не проболтайся.
take the bull by the horns|взять быка за рога|2026-04-02|learning||She decided to **take the bull by the horns**.|It's time to **take the bull by the horns**.|He **took the bull by the horns** and solved it.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
the elephant in the room|очевидная проблема, о которой молчат|2026-04-02|learning||Nobody mentioned it, but it was **the elephant in the room**.|Let's address **the elephant in the room**.|His debt is **the elephant in the room**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
think outside the box|мыслить нестандартно|2026-04-02|learning||We need to **think outside the box** to solve this.|She's great at **thinking outside the box**.|Try to **think outside the box** on this one.|Business / neutral. Мыслить нестандартно. Часто на работе и в учёбе. Иногда воспринимается как клише.
throw someone under the bus|подставить|2026-04-02|learning||He **threw his colleague under the bus** to save himself.|Don't **throw me under the bus**!|She **threw him under the bus** at the meeting.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
tip of the iceberg|верхушка айсберга|2026-04-02|learning||This problem is just **the tip of the iceberg**.|What we've found is only **the tip of the iceberg**.|These complaints are **the tip of the iceberg**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
turn a blind eye|закрывать глаза|2026-04-02|learning||The boss **turns a blind eye** to the problem.|She **turned a blind eye** to his behaviour.|You can't just **turn a blind eye** to this.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
twist someone's arm|уговорить; надавить|2026-04-02|learning||I didn't want to go but she **twisted my arm**.|You don't have to **twist my arm**!|He **twisted my arm** into agreeing.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
when pigs fly|когда рак на горе свистнет|2026-04-02|learning||He'll clean his room **when pigs fly**.|You'll get a pay rise **when pigs fly**.|She'll be on time **when pigs fly**.|Informal / sarcastic. Никогда. "He will apologize when pigs fly" = он никогда не извинится. Сильный сарказм.
wrap your head around|осознать; понять|2026-04-02|learning||I can't **wrap my head around** this maths problem.|It took me a while to **wrap my head around** the idea.|She's trying to **wrap her head around** the news.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
a drop in the ocean|капля в море|2026-04-02|learning||A hundred pounds is **a drop in the ocean** compared to the cost.|My donation was just **a drop in the ocean**.|Their effort was **a drop in the ocean**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
actions speak louder than words|дела говорят громче слов|2026-04-02|learning||Don't just talk — **actions speak louder than words**.|He proved it — **actions speak louder than words**.|Remember, **actions speak louder than words**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
at the end of the day|в конечном счёте|2026-04-02|learning||**At the end of the day**, it's your decision.|**At the end of the day**, results matter most.|**At the end of the day**, we did our best.|Business / formal. Подходит для рабочей среды и презентаций. Часто используется на встречах и в деловой переписке.
behind someone's back|за чьей-то спиной|2026-04-02|learning||She said bad things **behind my back**.|Don't talk about people **behind their backs**.|He went **behind her back** and told everyone.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
bite your tongue|прикусить язык|2026-04-02|learning||I wanted to argue but I **bit my tongue**.|She **bit her tongue** and said nothing.|Sometimes it's better to **bite your tongue**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
break the bank|разориться|2026-04-02|learning||This gift won't **break the bank**.|Eating out every night will **break the bank**.|We need a holiday that won't **break the bank**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
change of heart|перемена решения|2026-04-02|learning||She had **a change of heart** and stayed.|He had **a change of heart** about moving.|After thinking it over, I had **a change of heart**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
cry over spilt milk|плакать над разлитым молоком|2026-04-02|learning||What's done is done — no use **crying over spilt milk**.|Don't **cry over spilt milk**, move forward.|She told him to stop **crying over spilt milk**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
easier said than done|легче сказать, чем сделать|2026-04-02|learning||Finding a new job is **easier said than done**.|That's **easier said than done**.|Saving money is **easier said than done**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
every cloud has a silver lining|нет худа без добра|2026-04-02|learning||Don't be sad — **every cloud has a silver lining**.|She believes **every cloud has a silver lining**.|Losing that job led to a better one — **every cloud has a silver lining**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
food for thought|пища для размышлений|2026-04-02|learning||Her speech gave us a lot of **food for thought**.|That's **food for thought**.|The report provides **food for thought**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
get the hang of|освоить; приноровиться|2026-04-02|learning||You'll **get the hang of** it soon.|She's starting to **get the hang of** driving.|It took me a week to **get the hang of** the software.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
give it a shot|попробовать|2026-04-02|learning||I've never tried yoga but I'll **give it a shot**.|Why not **give it a shot**?|She decided to **give it a shot**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
go with the flow|плыть по течению|2026-04-02|learning||Don't stress about plans — just **go with the flow**.|She's the type to **go with the flow**.|Let's **go with the flow** today.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
have second thoughts|засомневаться|2026-04-02|learning||I'm **having second thoughts** about the trip.|She **had second thoughts** about accepting the offer.|He never **has second thoughts** — he just does it.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
in hot water|в беде; в неприятностях|2026-04-02|learning||He's **in hot water** with his boss.|She got **in hot water** for being late.|You'll be **in hot water** if they find out.|Informal. В беде, в неприятностях. Часто из-за своих действий. "He is in hot water with his boss".
keep an eye on|следить за|2026-04-02|learning||Can you **keep an eye on** my bag?|She **keeps an eye on** the children.|**Keep an eye on** the time.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
know something inside out|знать как свои пять пальцев|2026-04-02|learning||She **knows** this subject **inside out**.|He **knows** the city **inside out**.|I **know** the rules **inside out**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
learn the ropes|освоиться; войти в курс дела|2026-04-02|learning||It takes a few weeks to **learn the ropes**.|She's still **learning the ropes** at her new job.|He **learned the ropes** quickly.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
lose track of time|потерять счёт времени|2026-04-02|learning||Sorry I'm late — I **lost track of time**.|She always **loses track of time** when reading.|I **lost track of time** at the gym.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
make a long story short|короче говоря|2026-04-02|learning||To **make a long story short**, we got lost.|**Long story short**, she got the job.|**To make a long story short**, everything worked out.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
no strings attached|без обязательств|2026-04-02|learning||The offer comes **with no strings attached**.|She gave the gift **with no strings attached**.|It's a free trial, **no strings attached**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
on the bright side|если посмотреть с хорошей стороны|2026-04-02|learning||**On the bright side**, we still have time.|We lost the game but **on the bright side**, we played well.|**On the bright side**, nobody was hurt.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
over the moon|на седьмом небе от счастья|2026-04-02|learning||She was **over the moon** when she got the job.|He's **over the moon** about the baby.|We were **over the moon** with the results.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
practice makes perfect|повторение -- мать учения|2026-04-02|learning||Keep playing — **practice makes perfect**.|Don't give up — **practice makes perfect**.|She plays every day because **practice makes perfect**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
rain or shine|в любую погоду; несмотря ни на что|2026-04-02|learning||The event will happen **rain or shine**.|He goes jogging every day, **rain or shine**.|**Rain or shine**, I'll be there.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
rule of thumb|общее правило; практический принцип|2026-04-02|learning||As **a rule of thumb**, arrive ten minutes early.|**The rule of thumb** is to save 20% of your salary.|That's a good **rule of thumb** for beginners.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
save face|сохранить лицо|2026-04-02|learning||He lied to **save face** in front of his friends.|She tried to **save face** after the mistake.|It's important to **save face** in that culture.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
so far so good|пока всё хорошо|2026-04-02|learning||How's the project? **So far, so good.**|**So far, so good** — no problems yet.|The new diet? **So far, so good**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
the bottom line|суть; итог|2026-04-02|learning||**The bottom line** is we need more money.|What's **the bottom line** here?|**The bottom line** is that we have to act now.|Business / formal. Подходит для рабочей среды и презентаций. Часто используется на встречах и в деловой переписке.
through thick and thin|и в горе, и в радости|2026-04-02|learning||She supported me **through thick and thin**.|They've been friends **through thick and thin**.|He stayed loyal **through thick and thin**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
under pressure|под давлением|2026-04-02|learning||She works well **under pressure**.|Don't make decisions **under pressure**.|He cracked **under pressure** during the exam.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
up to speed|в курсе дела|2026-04-02|learning||Let me bring you **up to speed** on the project.|Are you **up to speed** with the changes?|It took a week to get **up to speed**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
word of mouth|из уст в уста; сарафанное радио|2026-04-02|learning||The restaurant became popular through **word of mouth**.|**Word of mouth** is the best advertising.|She heard about it by **word of mouth**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
at stake|на кону|2026-04-02|learning||A lot of money is **at stake**.|Jobs are **at stake** if the company fails.|There's too much **at stake** to take risks.|Business / formal. Подходит для рабочей среды и презентаций. Часто используется на встречах и в деловой переписке.
back to basics|назад к основам|2026-04-02|learning||Let's go **back to basics** and fix the foundation.|The team went **back to basics** after the loss.|Sometimes you need to go **back to basics**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
come to terms with|смириться с|2026-04-02|learning||She's trying to **come to terms with** the loss.|It took him years to **come to terms with** the truth.|I've finally **come to terms with** it.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
