english|variants|sources_count|first_source
at the moment|в настоящий момент (указывает на Present Continuous)|1|Lesson 8 - Present Simple vs Present Continuous.md
attentive|внимательный|1|Lesson 42 - 450 самых важных прилагательных в разных временах - часть 11.md
attitude to / towards|отношение к чему-то | отношение к|2|Lesson 32 - 450 самых важных прилагательных в разных временах - часть 1.md
attractive|привлекательный|2|Lesson 37 - 450 самых важных прилагательных в разных временах - часть 6.md
audience|публика | аудитория|2|Lesson 33 - 360 глаголов в разных временах 7.md
available|доступен|1|Lesson 38 - 450 самых важных прилагательных в разных временах - часть 7.md
aware|осведомлен|1|Lesson 34 - 450 самых важных прилагательных в разных временах - часть 3.md
awesome|потрясабщий|1|Lesson 41 - 450 самых важных прилагательных в разных временах - часть 10.md
bad|плохой|1|Lesson 36 - Сравнительная и превосходная степень прилагательных 1.md
be able|мочь,уметь|1|Lesson 46 - Модальные глаголы.md
be over|закончиться|1|Lesson 2 - 150 важных фразовых глаголов часть 2.md
because of|из-за|2|Lesson 35 - 360 глаголов в разных временах 9.md
belief|убеждения|1|Lesson 50 - Словообразование.md
better|лучше|1|Lesson 36 - Сравнительная и превосходная степень прилагательных 1.md
brighten up|скрасить, украсить|1|Lesson 7 - 150 фразовых глаголов.md
bring forward|предлагать|1|Lesson 7 - 150 фразовых глаголов.md
broad-minded|с широким кругозором|1|Lesson 42 - 450 самых важных прилагательных в разных временах - часть 11.md
by nature|от природы|1|Lesson 7 - Устойчивые фразы с предлогами - часть 2.md
can|мочь, уметь|1|Lesson 46 - Модальные глаголы.md
can't|не мочь, не уметь|1|Lesson 46 - Модальные глаголы.md
cancel|отменить|1|Lesson 1 - 150 важных фразовых глаголов часть 1.md
careful|осторожный|1|Lesson 34 - 450 самых важных прилагательных в разных временах - часть 3.md
careless|неосторожный, беззаботный|1|Lesson 34 - 450 самых важных прилагательных в разных временах - часть 3.md
catch up with|догнать кого-то|1|Lesson 2 - 150 важных фразовых глаголов часть 2.md
cautious|осторожный|1|Lesson 39 - 450 самых важных прилагательных в разных временах - часть 8.md
century|век|1|Lesson 44 - 230 самых важных прилагательных в разных временах - часть 6.md
chat|болтать|1|Lesson 27 - 360 глаголов в разных временах.md
cheap|дешевый|1|Lesson 36 - Сравнительная и превосходная степень прилагательных 1.md
circumstances|абстоятельство | абстоятельства | обстоятельства|3|Lesson 35 - 450 самых важных прилагательных в разных временах - часть 4.md
closely|тесно|1|Lesson 1 - Зависимые предлоги с прилагательными.md
come on|давай, ну же|1|Lesson 7 - 150 фразовых глаголов.md
come through|перенести что-то (трудности, испытания)|1|Lesson 7 - 150 фразовых глаголов.md
comfortable|комфортный|1|Lesson 50 - Словообразование.md
compensate|компенсировать|1|Lesson 1 - 150 важных фразовых глаголов часть 1.md
compensate for|компенсировать что-то|1|Lesson 10 - 320 зависимых предлогов.md
competent|компетентный|1|Lesson 42 - 450 самых важных прилагательных в разных временах - часть 11.md
complete|завершать, полный, полноченный|1|Lesson 42 - 450 самых важных прилагательных в разных временах - часть 11.md
complex|сложный, комплескный|1|Lesson 44 - 230 самых важных прилагательных в разных временах - часть 6.md
concentrate|концентрироваться|1|Lesson 35 - 360 глаголов в разных временах 9.md
concern|касаться|1|Lesson 34 - 360 глаголов в разных временах 8.md
concerning|касательно|1|Lesson 1 - Зависимые предлоги с прилагательными.md
conclusion|вывод|1|Lesson 41 - 450 самых важных прилагательных в разных временах - часть 10.md
confused|смущен|1|Lesson 32 - 450 самых важных прилагательных в разных временах - часть 1.md
confused about|смущен|1|Lesson 32 - 450 самых важных прилагательных в разных временах - часть 1.md
connected with each other|связаны с друг-другом|1|Lesson 1 - Зависимые предлоги с прилагательными.md
consequences|последсвтия|1|Lesson 39 - 450 самых важных прилагательных в разных временах - часть 8.md
constant|постоянный|1|Lesson 38 - 450 самых важных прилагательных в разных временах - часть 7.md
convinced|убежден|1|Lesson 40 - 450 самых важных прилагательных в разных временах - часть 9.md
cool down|успокоиться, остыть|1|Lesson 6 - 150 важных фразовых глаголов часть 6.md
could|мог, мог бы|1|Lesson 46 - Модальные глаголы.md
cure of|излечить от чего-то|1|Lesson 10 - 320 зависимых предлогов.md
current|текущий|2|Lesson 37 - 450 самых важных прилагательных в разных временах - часть 6.md
currently|в настоящее время|1|Lesson 48 - Наречия в английском часть 2.md
damage|поварежден|1|Lesson 34 - 360 глаголов в разных временах 8.md
decisive|решительный|2|Lesson 42 - 450 самых важных прилагательных в разных временах - часть 11.md
decrease|снижать|1|Lesson 27 - 360 глаголов в разных временах.md
definitely|определенно|1|Lesson 47 - Наречия в английском часть 1.md
deliberately|намеренно|1|Lesson 47 - Наречия в английском часть 1.md
delicious|восхитительный, очень вкусный|1|Lesson 36 - 450 самых важных прилагательных в разных временах - часть 5.md
deliver|доставлять|1|Lesson 27 - 360 глаголов в разных временах.md
demand|спрос|1|Lesson 5 - Зависимые предлоги с существительными.md
depend|зависеть|1|Lesson 38 - 450 самых важных прилагательных в разных временах - часть 7.md
dependent|зависимый|1|Lesson 38 - 450 самых важных прилагательных в разных временах - часть 7.md
depressed|подавленный|1|Lesson 35 - 450 самых важных прилагательных в разных временах - часть 4.md
detailed|детальный, подробный|1|Lesson 40 - 450 самых важных прилагательных в разных временах - часть 9.md
determined|решительный|1|Lesson 36 - 450 самых важных прилагательных в разных временах - часть 5.md
develop|развивать|1|Lesson 34 - 360 глаголов в разных временах 8.md
devote|уделять на|1|Lesson 13 - Future Simple vs Future Perfect vs Future Perfect Continuous.md
differ|отличаться, различаться|1|Lesson 32 - 360 глаголов в разных временах 6.md
disadvantages of|недостатки чего-то|1|Lesson 10 - 320 зависимых предлогов.md
disagree on|не соглашаться по поводу чего-то|1|Lesson 10 - 320 зависимых предлогов.md
disaster|бедствие, катастрофа|1|Lesson 32 - 360 глаголов в разных временах 6.md
discomfort|дискомфорт|1|Lesson 50 - Словообразование.md
discovery|открытие|1|Lesson 44 - 230 самых важных прилагательных в разных временах - часть 6.md
dissatisfied with|не удовлетворен|1|Lesson 50 - Словообразование.md
dissatistfied with|не удовлетворен чем-то|1|Lesson 2 - Зависимые предлоги с прилагательными 2.md
divide into|разделять на|1|Lesson 5 - Зависимые предлоги с существительными.md
do a great job|проделать отличную работу|1|Lesson 43 - do and make часть 1.md
do exercises|делать упражнения|1|Lesson 43 - do and make часть 1.md
do housework|делать работу по дому|1|Lesson 43 - do and make часть 1.md
do my best|сделать все возможное|2|Lesson 32 - 360 глаголов в разных временах 6.md
do the right thing|сделать правильную вещь, поступать правильно|1|Lesson 43 - do and make часть 1.md
do work|делать работу|1|Lesson 43 - do and make часть 1.md
doubts about|сомнения по поводу чего-то|1|Lesson 7 - Устойчивые фразы с предлогами - часть 2.md
dress down|одеваться неформально|1|Lesson 6 - 150 важных фразовых глаголов часть 6.md
drop out of|бросить учебу|1|Lesson 4 - 150 важных фразовых глаголов часть 4.md
due to bad weather|из-за плохой погоды|1|Lesson 19 - Времена в английском и смешанная практика Часть 1.md
easily|легко|1|Lesson 48 - Наречия в английском часть 2.md
easy|легкий|1|Lesson 48 - Наречия в английском часть 2.md
easy-going|легкий в общений человек|1|Lesson 36 - 450 самых важных прилагательных в разных временах - часть 5.md
economic|экономический|1|Lesson 34 - 450 самых важных прилагательных в разных временах - часть 3.md
educated|образованный|1|Lesson 36 - 450 самых важных прилагательных в разных временах - часть 5.md
educational|оброзовательный|1|Lesson 40 - 450 самых важных прилагательных в разных временах - часть 9.md
effective|эффективный|1|Lesson 36 - Сравнительная и превосходная степень прилагательных 1.md
employees|сотрудники|1|Lesson 28 - 360 глаголов в разных временах 2.md
end|конец|1|Lesson 50 - Словообразование.md
endless|бесконечный|1|Lesson 50 - Словообразование.md
energetic|энергичный|1|Lesson 34 - 450 самых важных прилагательных в разных временах - часть 3.md
engrossed in|поглощен чем-то|1|Lesson 8 - 320 зависимых предлогов.md
environmental|экологический|1|Lesson 33 - 450 самых важных прилагательных в разных временах - часть 2.md
equal|равный|1|Lesson 35 - 450 самых важных прилагательных в разных временах - часть 4.md
especially|особенно|1|Lesson 47 - Наречия в английском часть 1.md
essential|необходимый|1|Lesson 41 - 450 самых важных прилагательных в разных временах - часть 10.md
even though|даже хотя, даже если|1|Lesson 38 - 450 самых важных прилагательных в разных временах - часть 7.md
everything|всё|1|Lesson 50 - Важные грамматические конструкций.md
exceed|превышать|1|Lesson 33 - 450 самых важных прилагательных в разных временах - часть 2.md
excellent|отлично|1|Lesson 33 - 450 самых важных прилагательных в разных временах - часть 2.md
exchange|обменять|1|Lesson 33 - 360 глаголов в разных временах 7.md
exclusive|эксклюзивный|1|Lesson 39 - 450 самых важных прилагательных в разных временах - часть 8.md
expectations|ожидания|1|Lesson 33 - 450 самых важных прилагательных в разных временах - часть 2.md
expensive|дорогой|1|Lesson 36 - Сравнительная и превосходная степень прилагательных 1.md
experience|испытывать, опыт|1|Lesson 28 - 360 глаголов в разных временах 2.md
experienced|опытный|1|Lesson 41 - 450 самых важных прилагательных в разных временах - часть 10.md
explain to|обьяснять кому-то|1|Lesson 4 - Зависимые предлоги с прилагательными 4.md
external|внешний|2|Lesson 35 - 450 самых важных прилагательных в разных временах - часть 4.md
face|столкнуться с|1|Lesson 41 - 450 самых важных прилагательных в разных временах - часть 10.md
fair|справедливый|1|Lesson 39 - 450 самых важных прилагательных в разных временах - часть 8.md
faith|вера|1|Lesson 39 - 450 самых важных прилагательных в разных временах - часть 8.md
faithful|верный|1|Lesson 39 - 450 самых важных прилагательных в разных временах - часть 8.md
fall out / quarrel|ссориться|1|Lesson 3 - 150 важных фразовых глаголов часть 3.md
familiar to|знаком кому-то|1|Lesson 1 - Зависимые предлоги с прилагательными.md
familiar to someone|знаком кому-то|1|Lesson 11 - 320 зависимых предлогов.md
fast|быстрый, быстро|1|Lesson 49 Наречия в английском часть 3.md
feature|черта (Всмысле не тот черт, а наш лоховской на земле)|1|Lesson 44 - 230 самых важных прилагательных в разных временах - часть 6.md
few|если далее множестсенное число|1|Lesson 38 - Дополнительные грамматические конструкций.md
finally|наконец, наконец-то|1|Lesson 49 Наречия в английском часть 3.md
find out the whole truth|узнать всю правду|1|Lesson 32 - 450 самых важных прилагательных в разных временах - часть 1.md
fine|штраф|1|Lesson 33 - 450 самых важных прилагательных в разных временах - часть 2.md
flick through|просмотреть, пролистать|1|Lesson 1 - 150 важных фразовых глаголов часть 1.md
fool|глупец, дурак|1|Lesson 32 - 450 самых важных прилагательных в разных временах - часть 1.md
foolish|глупый, дурацкий|1|Lesson 32 - 450 самых важных прилагательных в разных временах - часть 1.md
for|на протяжений какого-то времени, и указывает на Present Perfect Continuous если действие началось в прошлом и все еще продолжается | на протяжении какого-то времени|2|Lesson 11 - Present Perfect Continuous vs Present Perfect Past Continuous vs Present Simple.md
for a change|для разнобразия|1|Lesson 6 - Устойчивые фразы с предлогами - часть 1.md
for a start|для начала|1|Lesson 6 - Устойчивые фразы с предлогами - часть 1.md
for ages|целую вежность|1|Lesson 6 - Устойчивые фразы с предлогами - часть 1.md
for sale|продается, выставлен продажу|1|Lesson 6 - Устойчивые фразы с предлогами - часть 1.md
for sure|точно|1|Lesson 6 - Устойчивые фразы с предлогами - часть 1.md
formal|формальный|1|Lesson 50 - Словообразование.md
frank|откровенный | откровенный, откровеннен|2|Lesson 42 - 450 самых важных прилагательных в разных временах - часть 11.md
frankly|откровенно|1|Lesson 48 - Наречия в английском часть 2.md
further cooperation|дальнейшее сотрудинечество|1|Lesson 9 - 320 зависимых предлогов.md
get acquainted with|познакомиться с кем-то|1|Lesson 3 - Зависимые предлоги с прилагательными 3.md
get across|донести, передать (мысль, идею)|1|Lesson 3 - 150 важных фразовых глаголов часть 3.md
get along well|хорошо ладить|1|Lesson 2 - 150 важных фразовых глаголов часть 2.md
get bored with|надоело, наскучило|1|Lesson 11 - 320 зависимых предлогов.md
get down|расстраивать, угнетать|1|Lesson 2 - 150 важных фразовых глаголов часть 2.md
get on well|хорошо ладить|1|Lesson 2 - 150 важных фразовых глаголов часть 2.md
get on with|ладить с|1|Lesson 2 - 150 важных фразовых глаголов часть 2.md
get used to|привыкнуть к чему-то|1|Lesson 1 - Зависимые предлоги с прилагательными.md
gigantic|гигантский|1|Lesson 35 - 450 самых важных прилагательных в разных временах - часть 4.md
global|глобальный|1|Lesson 41 - 450 самых важных прилагательных в разных временах - часть 10.md
go for a walk|пойти на прогулку|1|Lesson 6 - Устойчивые фразы с предлогами - часть 1.md
go smoothly|пройти гладко|1|Lesson 48 - Наречия в английском часть 2.md
go under|разориться|1|Lesson 7 - 150 фразовых глаголов.md
going to|собираться делать что-то|1|Lesson 26 - Конструкция going to в разных временах.md
good|хороший|1|Lesson 36 - Сравнительная и превосходная степень прилагательных 1.md
goods|товары, товар|1|Lesson 27 - 360 глаголов в разных временах.md
grateful|благодарный|1|Lesson 3 - Зависимые предлоги с прилагательными 3.md
great|великий|1|Lesson 44 - 230 самых важных прилагательных в разных временах - часть 6.md
happen|происходит|1|Lesson 1 - 150 важных фразовых глаголов часть 1.md
hard|усердно|1|Lesson 47 - Наречия в английском часть 1.md
hardly|едва|1|Lesson 47 - Наречия в английском часть 1.md
harm|вред|2|Lesson 2 - Зависимые предлоги с прилагательными 2.md
harmful|вредный|1|Lesson 50 - Словообразование.md
harmless|безвредный|1|Lesson 50 - Словообразование.md
have got|может применяться только в настоящем данном времени|1|Lesson 47 - Have got.md
have/has to|должен( в силу абстоятельсв), приходится|1|Lesson 46 - Модальные глаголы.md
high|высокий | выскокий, высота|2|Lesson 36 - Сравнительная и превосходная степень прилагательных 1.md
higher|выше|1|Lesson 36 - Сравнительная и превосходная степень прилагательных 1.md
highly|высоко, крайне, весьма - используется для усиления а не обозначений высоты, или дтистанций|1|Lesson 49 Наречия в английском часть 3.md
highly appreciate|высоко ценить|1|Lesson 49 Наречия в английском часть 3.md
honest|честный|2|Lesson 44 - 230 самых важных прилагательных в разных временах - часть 6.md
hopefully|Надеюсь, ...|1|Lesson 47 - Наречия в английском часть 1.md
huge|огромный|2|Lesson 39 - 230 самых важных прилагательных в разных временах - часть 1.md
i firmly believe|Я твердо верю | я твердо верю|2|Lesson 45 - Артиклы.md
i have seen him recently|и так и так верно|1|Lesson 29 - 360 глаголов в разных временах 3.md
i made up my mind|я принял решение|1|Lesson 44 - do and make part 2.md
i wish i knew it|Мне хотелось бы, чтобы я знал это|1|Lesson 21 -  Условные наклонения - второе условное наклонение(Conditional 2).md
if|используем если есть уточнение|1|Lesson 24 - Indirect question 2, Future in the Past.md
if you don't mind|если ты не возражаешь|1|Lesson 6 - Устойчивые фразы с предлогами - часть 1.md
ill|болен, больной|1|Lesson 39 - 230 самых важных прилагательных в разных временах - часть 1.md
illegal|незаконный, нелегальный|2|Lesson 42 - 230 самых важных прилагательных в разных временах - часть 4.md
illness|болезнь|1|Lesson 44 - 230 самых важных прилагательных в разных временах - часть 6.md
illogical|не логичный|2|Lesson 41 - 450 самых важных прилагательных в разных временах - часть 10.md
immediate|немедленный|1|Lesson 32 - 450 самых важных прилагательных в разных временах - часть 1.md
impatient|нетерпеливый|1|Lesson 36 - 450 самых важных прилагательных в разных временах - часть 5.md
impolite|не вежливый|1|Lesson 50 - Словообразование.md
important|важный|1|Lesson 50 - Словообразование.md
impressive|впечатляющий|1|Lesson 33 - 450 самых важных прилагательных в разных временах - часть 2.md
in a good mood|в хорошем настроений|1|Lesson 7 - Устойчивые фразы с предлогами - часть 2.md
in addition to it|в добавление к этому|1|Lesson 7 - Устойчивые фразы с предлогами - часть 2.md
in good condition|в хорошем состояний|1|Lesson 7 - Устойчивые фразы с предлогами - часть 2.md
in practice|на практике|1|Lesson 6 - Устойчивые фразы с предлогами - часть 1.md
in the beginning|в начале|1|Lesson 4 - Зависимые предлоги с прилагательными 4.md
inaccurate|не точный|1|Lesson 50 - Словообразование.md
inactive|неактивный|2|Lesson 35 - 450 самых важных прилагательных в разных временах - часть 4.md
incompetent|не компетентный|1|Lesson 42 - 450 самых важных прилагательных в разных временах - часть 11.md
incredibly|невероятно|1|Lesson 40 - 450 самых важных прилагательных в разных временах - часть 9.md
indecisive|не решительный|1|Lesson 50 - Словообразование.md
independent|независимый|1|Lesson 38 - 450 самых важных прилагательных в разных временах - часть 7.md
inevitable|неизбежный|1|Lesson 34 - 450 самых важных прилагательных в разных временах - часть 3.md
inexpensive|недорогой|1|Lesson 39 - 450 самых важных прилагательных в разных временах - часть 8.md
influence|влиять, влияние | влиять , влиять на, повлиять на|2|Lesson 34 - 360 глаголов в разных временах 8.md
influence on something|влияние на что-то - существительнон|1|Lesson 5 - Зависимые предлоги с существительными.md
influence something|влиять на что-то - глагол|1|Lesson 5 - Зависимые предлоги с существительными.md
informal|неформальный|1|Lesson 50 - Словообразование.md
inspired by|вдохновлен чем-то|1|Lesson 2 - Зависимые предлоги с прилагательными 2.md
interfere in|вмешиваться во что-то|1|Lesson 10 - 320 зависимых предлогов.md
internal|внутренний|1|Lesson 42 - 450 самых важных прилагательных в разных временах - часть 11.md
invaluable|бесценный|1|Lesson 50 - Словообразование.md
invent|изобретать|1|Lesson 28 - 360 глаголов в разных временах 2.md
irregular|не правильный, не регулярный|2|Lesson 42 - 230 самых важных прилагательных в разных временах - часть 4.md
irreplaceable|незаменимый|1|Lesson 50 - Словообразование.md
irresponsible|безответственный|1|Lesson 50 - Словообразование.md
it isn't surprising that|Неудевительно|1|Lesson 1 - 150 важных фразовых глаголов часть 1.md
just|только что|1|Lesson 11 - Present Perfect Continuous vs Present Perfect Past Continuous vs Present Simple.md
just out of curiosity|чисто (просто) из любопытсва|1|Lesson 6 - Устойчивые фразы с предлогами - часть 1.md
knowledgeable|знающий|1|Lesson 41 - 450 самых важных прилагательных в разных временах - часть 10.md
lack something|не хватать чего-то|1|Lesson 5 - Зависимые предлоги с существительными.md
lead to|привести к чему-то | ввести к чему-то|2|Lesson 4 - Зависимые предлоги с прилагательными 4.md
leading|ведущий|1|Lesson 35 - 450 самых важных прилагательных в разных временах - часть 4.md
legal|законный, легальный|2|Lesson 42 - 230 самых важных прилагательных в разных временах - часть 4.md
let's eat out tonight|Давай поедим где нибудь сегодня вечером|1|Lesson 7 - 150 фразовых глаголов.md
live out|упускать, не включать|1|Lesson 1 - 150 важных фразовых глаголов часть 1.md
live up to my expectations|оправдать мои ожидания|1|Lesson 42 - 450 самых важных прилагательных в разных временах - часть 11.md
logical|логичный|2|Lesson 41 - 450 самых важных прилагательных в разных временах - часть 10.md
lonely|одинокий|1|Lesson 35 - 450 самых важных прилагательных в разных временах - часть 4.md
long|длинный|1|Lesson 36 - Сравнительная и превосходная степень прилагательных 1.md
longer|длиннее|1|Lesson 36 - Сравнительная и превосходная степень прилагательных 1.md
look ahead|забегать вперед, смотря вперед|1|Lesson 3 - 150 важных фразовых глаголов часть 3.md
look back|оглянуться|1|Lesson 3 - 150 важных фразовых глаголов часть 3.md
look in|заглянуть, навестить|1|Lesson 3 - 150 важных фразовых глаголов часть 3.md
look in on someone|заглянуть к кому-то|1|Lesson 3 - 150 важных фразовых глаголов часть 3.md
look through|просмтаривать|1|Lesson 3 - 150 важных фразовых глаголов часть 3.md
look up in|посмотреть, поискать(в справочнике, словаре, инструкций)|1|Lesson 1 - 150 важных фразовых глаголов часть 1.md
loyal|лояльный|1|Lesson 32 - 450 самых важных прилагательных в разных временах - часть 1.md
lucky|удачливый, везучий | везучий|2|Lesson 39 - 230 самых важных прилагательных в разных временах - часть 1.md
magnificent|великолепный|1|Lesson 33 - 450 самых важных прилагательных в разных временах - часть 2.md
mainly because of|в основном из-за|1|Lesson 47 - Наречия в английском часть 1.md
make  the right decision|принять правильное решение|1|Lesson 35 - 360 глаголов в разных временах 9.md
make a  decision|принять решение|1|Lesson 35 - 360 глаголов в разных временах 9.md
make a call|сделать звонок|1|Lesson 44 - do and make part 2.md
make a choice|сделать выбор|1|Lesson 43 - do and make часть 1.md
make a cup of coffee|сделать чашку кофе|1|Lesson 43 - do and make часть 1.md
make a cup of tea|сделать чашку чая|1|Lesson 43 - do and make часть 1.md
make a discovery|сделать открытие|1|Lesson 44 - do and make part 2.md
make a payment|сделать платеж|1|Lesson 44 - do and make part 2.md
make a phone call|сделать телефонный звонок|1|Lesson 44 - do and make part 2.md
make a remark|сделать замечание|1|Lesson 44 - do and make part 2.md
make a salad|приготовить салат|1|Lesson 43 - do and make часть 1.md
make a sandwitch|приготовить сэндвич|1|Lesson 43 - do and make часть 1.md
make a very favorable impression|произвести  очень блоагоприятное впечатление|1|Lesson 44 - do and make part 2.md
make an agreement|заключить соглашение|1|Lesson 44 - do and make part 2.md
make an offer|сделать предложение|1|Lesson 44 - do and make part 2.md
make comments|сделать комментарий|1|Lesson 44 - do and make part 2.md
make the right choice|сделать правильный выбор|1|Lesson 43 - do and make часть 1.md
make up for lost time|наверстать упущенное время|1|Lesson 1 - 150 важных фразовых глаголов часть 1.md
matter|иметь значение?|1|Lesson 33 - 360 глаголов в разных временах 7.md
maximum|максимальный|1|Lesson 33 - 450 самых важных прилагательных в разных временах - часть 2.md
may|возможно|1|Lesson 46 - Модальные глаголы.md
measure|измеорять|1|Lesson 27 - 360 глаголов в разных временах.md
medical|медицинский|1|Lesson 39 - 450 самых важных прилагательных в разных временах - часть 8.md
medical care|медицинский уход|1|Lesson 39 - 450 самых важных прилагательных в разных временах - часть 8.md
medical treatment|медицинское лечение|1|Lesson 39 - 450 самых важных прилагательных в разных временах - часть 8.md
might|возможно|1|Lesson 46 - Модальные глаголы.md
mistaken|ошибочный|1|Lesson 38 - 450 самых важных прилагательных в разных временах - часть 7.md
misunderstand|неправильно понимать|1|Lesson 50 - Словообразование.md
misunderstanding|недопонимание|1|Lesson 50 - Словообразование.md
modest|скромный|1|Lesson 33 - 450 самых важных прилагательных в разных временах - часть 2.md
more effective|эффективнее|1|Lesson 36 - Сравнительная и превосходная степень прилагательных 1.md
more expensive|дороже|1|Lesson 36 - Сравнительная и превосходная степень прилагательных 1.md
mostly|в основном|1|Lesson 47 - Наречия в английском часть 1.md
mostly because of|в основном из-за|1|Lesson 47 - Наречия в английском часть 1.md
motivated|мотивированный|1|Lesson 38 - 450 самых важных прилагательных в разных временах - часть 7.md
move on to|перейти к чему-то|1|Lesson 7 - 150 фразовых глаголов.md
must|должен|1|Lesson 46 - Модальные глаголы.md
my elder brother|мой старший брат|1|Lesson 36 - Сравнительная и превосходная степень прилагательных 1.md
mysterious|таинственный, загадочный|1|Lesson 35 - 450 самых важных прилагательных в разных временах - часть 4.md
natural|натуральный | природный, натуральный|2|Lesson 32 - 450 самых важных прилагательных в разных временах - часть 1.md
naturally|естественно|1|Lesson 48 - Наречия в английском часть 2.md
nearly|почти|1|Lesson 49 Наречия в английском часть 3.md
negative|отрицатальный, негативный|1|Lesson 39 - 450 самых важных прилагательных в разных временах - часть 8.md
nice of|мило с чьей -то стороны|1|Lesson 3 - Зависимые предлоги с прилагательными 3.md
none of them|никто из них / ничего из них|1|Lesson 50 - Важные грамматические конструкций.md
not surprisingly|Неудевительно|1|Lesson 1 - 150 важных фразовых глаголов часть 1.md
not to include|упускать, не включать|1|Lesson 1 - 150 важных фразовых глаголов часть 1.md
objective|объеквтивный|1|Lesson 38 - 450 самых важных прилагательных в разных временах - часть 7.md
occasionally|изредка|1|Lesson 47 - Наречия в английском часть 1.md
occupied with|занят кем-то|1|Lesson 9 - 320 зависимых предлогов.md
official|офциальный|1|Lesson 41 - 450 самых важных прилагательных в разных временах - часть 10.md
oil|нефть|1|Lesson 34 - 360 глаголов в разных временах 8.md
old|старый|1|Lesson 36 - Сравнительная и превосходная степень прилагательных 1.md
older|старше|1|Lesson 36 - Сравнительная и превосходная степень прилагательных 1.md
on good terms|в хороших отношениях|1|Lesson 7 - Устойчивые фразы с предлогами - часть 2.md
opposite|напротив, наоборот|1|Lesson 34 - 450 самых важных прилагательных в разных временах - часть 3.md
