word|ipa|base_verb|translation|exportedAt|status|knownAt|s1|s2|s3|family
handout|/ˈhændaʊt/|hand out|раздаточный материал; подачка|2026-04-02|learning||The teacher gave us a **handout**.|She doesn't want **handouts** — she wants a job.|The **handout** has all the key points.|hand out (v.)
workout|/ˈwəːk.aʊt/|work out|тренировка|2026-04-02|learning||I do a 30-minute **workout** every morning.|That was a tough **workout**.|She skipped her **workout** today.|work out (v.)
letdown||let down|разочарование|2026-04-02|learning||The film was a real **letdown**.|After all the hype, the product was a **letdown**.|What a **letdown** — the concert was cancelled.|let down (v.)
layoff||lay off|сокращение; увольнение|2026-04-02|learning||The company announced **layoffs** of 200 people.|Mass **layoffs** hit the tech industry.|She was affected by the **layoffs**.|lay off (v.)
standout||stand out|выдающийся человек/вещь|2026-04-02|learning||She was the **standout** performer of the night.|His essay was a **standout** among the entries.|The **standout** feature of the phone is the camera.|stand out (v.)
rundown||run down|краткий обзор; запущенный|2026-04-02|learning||Give me a quick **rundown** of the meeting.|The building looks pretty **rundown**.|Here's a **rundown** of the main points.|run down (v.)
fallout||fall out|последствия; осадки|2026-04-02|learning||The political **fallout** was huge.|The **fallout** from the scandal lasted months.|Nuclear **fallout** is extremely dangerous.|fall out (v.)
getaway||get away|побег; короткий отпуск|2026-04-02|learning||The criminals made their **getaway** by car.|We planned a weekend **getaway** to the coast.|She needs a quick **getaway** from the city.|get away (v.)
giveaway||give away|бесплатная раздача; то, что выдаёт|2026-04-02|learning||There's a free **giveaway** at the shop.|Her smile was a **giveaway** — she knew the secret.|The company is doing a book **giveaway**.|give away (v.)
crackdown||crack down|жёсткие меры|2026-04-02|learning||There's been a **crackdown** on speeding.|The police launched a **crackdown** on drug dealing.|The government announced a **crackdown** on tax fraud.|crack down (v.)
followup||follow up|продолжение; повторный контакт|2026-04-02|learning||She scheduled a **follow-up** appointment.|The **follow-up** to the film was disappointing.|I'll send a **follow-up** email tomorrow.|follow up (v.)
startup||start up|стартап|2026-04-02|learning||He works at a tech **startup**.|The **startup** raised a lot of money.|She founded a **startup** last year.|start up (v.)
drawback||draw back|недостаток|2026-04-11|learning|||The only **drawback** is the price.|Every plan has its **drawbacks**.|The **drawback** of living here is the noise.|
outbreak|/ˈaʊtbɹeɪk/|break out|вспышка|2026-04-02|learning||There was an **outbreak** of flu.|The **outbreak** spread to other cities.|The **outbreak** started in March.|break out (v.)
shakeup||shake up|перестройка; реорганизация|2026-04-11|learning|||There was a major **shakeup** at the company.|The **shakeup** changed everything.|A management **shakeup** is coming.|
kickoff||kick off|начало|2026-04-11|learning|||The **kickoff** is at three o'clock.|The **kickoff** of the project went well.|We're ready for the **kickoff**.|
writeoff||write off|списание; полная потеря|2026-04-11|learning|||The car was a total **write-off**.|The debt was a **write-off**.|The project became a **write-off**.|
blowout||blow out|прорыв; распродажа|2026-04-11|learning|||There was a tyre **blowout** on the road.|The store had a big **blowout** sale.|The **blowout** caused a traffic jam.|
cutback||cut back|сокращение|2026-04-11|learning|||There were **cutbacks** in education.|The company announced **cutbacks** in staff.|Budget **cutbacks** affected everyone.|
holdup||hold up|задержка; ограбление|2026-04-11|learning|||There was a **holdup** on the highway.|Sorry for the **holdup**.|The bank **holdup** made the news.|
mixup||mix up|путаница|2026-04-11|learning|||There was a **mix-up** with the tickets.|It was just a silly **mix-up**.|The **mix-up** caused a lot of confusion.|
payoff||pay off|выплата; результат|2026-04-11|learning|||The hard work had a big **payoff**.|The **payoff** was worth the effort.|She received a large **payoff**.|
pickup||pick up|пикап; подъём|2026-04-11|learning|||He drives a **pickup** truck.|There was a **pickup** in sales.|The **pickup** point is at the front door.|
showdown||show down|решающая схватка|2026-04-11|learning|||The final **showdown** is tomorrow.|It was a **showdown** between the two teams.|The **showdown** ended quickly.|
spinoff||spin off|побочный продукт|2026-04-11|learning|||The TV show got a **spinoff**.|The **spinoff** was more popular.|It started as a **spinoff** of the original.|
buildup||build up|наращивание; нарастание|2026-04-11|learning|||There was a **buildup** of traffic.|The **buildup** to the event was exciting.|A **buildup** of stress can cause problems.|
startup||start up|стартап; запуск|2026-04-02|learning||She works at a tech **startup**.|The **startup** costs were quite high.|He founded a successful **startup** in 2020.|start up (v.)
