english_word|ipa|false_meaning|real_meaning|russian_word|exportedAt|status|knownAt|s1|s2|s3|family
translate|/ˈtɹɛnzlæet/|транслировать|переводить|переводить (транслировать = broadcast)|2026-04-02|learning||Can you **translate** this into English?|She **translated** the letter for us.|The book was **translated** into 30 languages.|translation (n.), translator (n.)
baton|/ˈbætɒn/|батон|жезл; палочка дирижёра|жезл (батон = loaf of bread)|2026-04-02|learning||The police officer raised his **baton**.|The conductor picked up his **baton**.|She passed the **baton** to the next runner.|
decade|/dəˈkeɪd/|декада|десятилетие|десятилетие (декада = ten days)|2026-04-02|learning||She lived abroad for a **decade**.|The last **decade** saw huge changes.|He's been teaching for over a **decade**.|
decoration|/ˌdɛkəˈɹeɪʃən/|декорация|украшение|украшение (декорация = scenery/set)|2026-04-02|learning||The room had beautiful Christmas **decorations**.|She likes simple **decoration** in her home.|They put up **decorations** for the party.|decorate (v.), decorative (adj.), decorator (n.)
direction|/d(a)ɪˈɹɛk.ʃən/|дирекция|направление|направление (дирекция = management)|2026-04-02|learning||Can you give me **directions** to the station?|The wind changed **direction**.|She walked in the **direction** of the park.|direct (v., adj.), directly (adv.), director (n.), indirect (adj.)
mayor|/ˈmeɪ.ə/|майор|мэр|мэр (майор = major)|2026-04-02|learning||The **mayor** opened the new park.|She was elected **mayor** last year.|The **mayor** gave a speech at the ceremony.|mayoral (adj.)
physician|/fɪˈzɪʃən/|физик|врач|врач (физик = physicist)|2026-04-02|learning||She went to see her **physician**.|The **physician** prescribed some medicine.|He's been her family **physician** for years.|physical (adj.), physically (adv.), physics (n.)
anecdote|/ˈæ.nɪk.doʊt/|анекдот|история из жизни|история (анекдот = joke)|2026-04-11|learning|||He told a funny **anecdote** about his trip.|She shared an **anecdote** from her childhood.|The book is full of interesting **anecdotes**.|
artist|/ˈɑːtɪst/|артист|художник|художник (артист = performer)|2026-04-11|learning|||The **artist** painted a beautiful picture.|She is a famous **artist**.|The **artist** sold his work at the gallery.|
band|/bænd/|банда|группа (музыкальная)|муз. группа (банда = gang)|2026-04-11|learning|||The **band** played great music.|She sings in a rock **band**.|The **band** has five members.|
cabin|/ˈkæbɪn/|кабина|хижина; каюта|хижина (кабина = booth/cockpit)|2026-04-11|learning|||We stayed in a small **cabin** by the lake.|The **cabin** was made of wood.|He rented a **cabin** in the mountains.|
clay|/kleɪ/|клей|глина|глина (клей = glue)|2026-04-11|learning|||She made a pot from **clay**.|The children played with **clay**.|The **clay** was soft and wet.|
concrete|/kɵnˈkɹiːt/|конкретный|бетон; конкретный|бетон (конкретный = specific)|2026-04-11|learning|||The wall is made of **concrete**.|They poured **concrete** for the floor.|The **concrete** is very strong.|
marmalade|/ˈmɑː.mə.leɪd/|мармелад|апельсиновый джем|апельсиновый джем (мармелад = fruit jelly candy)|2026-04-11|learning|||She put **marmalade** on her toast.|I like orange **marmalade**.|He bought a jar of **marmalade**.|
preservative||презерватив|консервант|консервант (презерватив = condom)|2026-04-11|learning|||This food has no **preservatives**.|**Preservatives** keep food fresh longer.|She avoids products with **preservatives**.|
velvet|/ˈvɛlvɪt/|вельвет|бархат|бархат (вельвет = corduroy)|2026-04-11|learning|||She wore a **velvet** dress.|The chair was covered in red **velvet**.|The **velvet** felt soft to the touch.|
compositor|/kəmˈpɒzɪtə(ɹ)/|композитор|наборщик текста|наборщик (композитор = composer)|2026-04-11|learning|||The **compositor** set the type for the newspaper.|A **compositor** arranges text for printing.|The job of a **compositor** is now digital.|
mark|/mɑɹk/|марка|оценка; след|оценка (марка = stamp/brand)|2026-04-11|learning|||She got a good **mark** on the test.|There was a **mark** on the wall.|He left a **mark** on the paper.|
accurate|/ˈæk.jə.ɹɪt/|аккуратный|точный|точный (аккуратный = neat/tidy)|2026-04-02|learning||The report must be **accurate**.|Her answer was very **accurate**.|Is this information **accurate**?|accuracy (n.), accurately (adv.), inaccurate (adj.)
