pair|word_a|meaning_a|word_b|meaning_b|word_c|meaning_c|exportedAt|status|knownAt|s1|s2|s3|note
make / let / allow|make|заставлять|let / allow|позволять|||2026-04-11|learning||The teacher **made** us stay late.|My parents don't **let** me stay up late.|They **allowed** her to leave early.|
worth / worthy|worth|стоящий (+ сущ./герундий)|worthy|достойный (+ of)|||2026-04-11|learning||The film is **worth** watching.|She is **worthy** of the prize.|Is it **worth** the money?|
during / while|during|во время (+ сущ.)|while|пока (+ предложение)|||2026-04-11|learning||She fell asleep **during** the film.|**While** I was reading, he called.|It rained **during** the night.|
job / work|job|работа (должность)|work|работа (процесс)|||2026-04-11|learning||She found a new **job**.|I have a lot of **work** to do.|His **job** is well paid.|
house / home|house|дом (здание)|home|дом (место жительства)|||2026-04-11|learning||They bought a new **house**.|I want to go **home**.|The **house** has three bedrooms.|
other / another|other|другой (из нескольких)|another|ещё один|||2026-04-11|learning||I'll take the **other** one.|Can I have **another** cup of tea?|There are **other** options.|
actually / currently|actually|на самом деле|currently|в настоящее время|||2026-04-11|learning||**Actually**, I don't agree.|She is **currently** on holiday.|**Actually**, he was right.|
remember / remind|remember|помнить|remind|напоминать|||2026-04-02|learning||I **remember** that day clearly.|Please **remind** me to call her.|Do you **remember** his name?|
teach / learn|teach|учить (кого-то)|learn|учиться|||2026-04-11|learning||She **teaches** English at school.|I want to **learn** French.|He **taught** me to swim.|
specially / especially|specially|специально|especially|особенно|||2026-04-11|learning||I **specially** ordered this for you.|I love fruit, **especially** oranges.|The cake was **specially** made.|
raise / rise|raise|поднимать (что-то)|rise|подниматься (само)|||2026-04-02|learning||She **raised** her hand.|The sun **rises** at six.|He **raised** the price.|
lend / borrow|lend|давать взаймы|borrow|брать взаймы|||2026-04-02|learning||Can you **lend** me your pen?|I need to **borrow** some money.|She **lent** me her book.|
lay / lie (past)|laid|положил|lay|лежал|||2026-04-11|learning||She **laid** the baby down gently.|He **lay** in bed all morning.|The dog **lay** by the fire.|
ago / before|ago|назад (от сейчас)|before|до (от момента в прошлом)|||2026-04-11|learning||I moved here two years **ago**.|I had seen him the day **before**.|She left an hour **ago**.|
habit / custom|habit|привычка (личная)|custom|обычай (культурный)|||2026-04-11|learning||Smoking is a bad **habit**.|It's a local **custom** to shake hands.|He has a **habit** of being late.|
trip / journey / travel|trip|поездка (короткая)|journey|путь (долгий)|||2026-04-11|learning||She went on a business **trip**.|The **journey** took six hours.|**Travel** broadens the mind.|
come / go|come|идти (к говорящему)|go|идти (от говорящего)|||2026-04-11|learning||**Come** here, please.|I need to **go** to the shop.|Can you **come** to my party?|
price / cost / value|price|цена (на ценнике)|cost|стоимость (расход)|||2026-04-11|learning||The **price** of the shirt is $20.|The **cost** of living is high.|The **value** of the house went up.|
shade / shadow|shade|тень (прохлада)|shadow|тень (силуэт)|||2026-04-11|learning||Let's sit in the **shade**.|I saw his **shadow** on the wall.|The tree gives nice **shade**.|
