phrase|type|translation|exportedAt|status|knownAt|s1|s2|s3|note
complain about|verb|жаловаться на|2026-04-09|learning|||He always **complains about** the food.|She **complained about** the noise.|Тема обсуждения или беспокойства: talk about, think about, worry about, complain about, dream about, anxious about, concerned about, doubts about. "О чём → ABOUT".
concentrate on|verb|концентрироваться на|2026-04-09|learning|||I need to **concentrate on** my work.|She **concentrates on** the details.|Часто означает зависимость, опору, тему: depend on, rely on, count on, focus on, comment on, insist on, congratulate on. Тебя учат: "когда есть зависимость или внимание к чему-то → ON".
congratulate on|verb|поздравлять с|2026-04-09|learning|||I **congratulated** her **on** passing the exam.|He **congratulated** me **on** my new job.|Часто означает зависимость, опору, тему: depend on, rely on, count on, focus on, comment on, insist on, congratulate on. Тебя учат: "когда есть зависимость или внимание к чему-то → ON".
consist of|verb|состоять из|2026-04-09|learning|||The team **consists of** five people.|The meal **consists of** three courses.|Часто после прилагательных эмоций и существительных характеристик: afraid of, aware of, capable of, full of, proud of; cause of, lack of, reason of. Также после verbs: consist of, accuse of, remind of.
cope with|verb|справляться с|2026-04-09|learning|||She can't **cope with** the stress.|How do you **cope with** so much work?|Сопровождение, средство, отношение: agree with, deal with, struggle with, satisfied with, familiar with, fed up with. Запомни: "вместе с / посредством / по отношению к → WITH".
decide on|verb|решить, выбрать|2026-04-09|learning|||We **decided on** the blue one.|Have you **decided on** a name?|Часто означает зависимость, опору, тему: depend on, rely on, count on, focus on, comment on, insist on, congratulate on. Тебя учат: "когда есть зависимость или внимание к чему-то → ON".
depend on|verb|зависеть от|2026-04-09|learning|||It **depends on** the weather.|She **depends on** her parents.|Часто означает зависимость, опору, тему: depend on, rely on, count on, focus on, comment on, insist on, congratulate on. Тебя учат: "когда есть зависимость или внимание к чему-то → ON".
die of|verb|умереть от|2026-04-09|learning|||He **died of** a heart attack.|Many people **died of** the disease.|Часто после прилагательных эмоций и существительных характеристик: afraid of, aware of, capable of, full of, proud of; cause of, lack of, reason of. Также после verbs: consist of, accuse of, remind of.
differ from|verb|отличаться от|2026-04-09|learning|||This **differs from** what I expected.|English **differs from** Russian a lot.|Источник, происхождение, отделение: differ from, suffer from, recover from, escape from, hide from, far from, different from, absent from. "Откуда / отделение → FROM".
disapprove of|verb|не одобрять|2026-04-09|learning|||They **disapprove of** his behaviour.|She **disapproves of** violence.|Часто после прилагательных эмоций и существительных характеристик: afraid of, aware of, capable of, full of, proud of; cause of, lack of, reason of. Также после verbs: consist of, accuse of, remind of.
dream about|verb|мечтать о|2026-04-09|learning|||I **dream about** travelling the world.|She **dreams about** becoming a singer.|Тема обсуждения или беспокойства: talk about, think about, worry about, complain about, dream about, anxious about, concerned about, doubts about. "О чём → ABOUT".
dream of|verb|мечтать о|2026-04-09|learning|||She **dreams of** a better life.|I've always **dreamed of** visiting Japan.|Часто после прилагательных эмоций и существительных характеристик: afraid of, aware of, capable of, full of, proud of; cause of, lack of, reason of. Также после verbs: consist of, accuse of, remind of.
excuse for|verb|оправдывать за|2026-04-09|learning|||There is no **excuse for** being rude.|Please **excuse** me **for** interrupting.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
focus on|verb|сосредоточиться на|2026-04-09|learning|||**Focus on** your goals.|She **focuses on** quality.|Часто означает зависимость, опору, тему: depend on, rely on, count on, focus on, comment on, insist on, congratulate on. Тебя учат: "когда есть зависимость или внимание к чему-то → ON".
forgive for|verb|прощать за|2026-04-09|learning|||I **forgave** him **for** lying.|She can't **forgive** me **for** what I said.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
happen to|verb|случиться с|2026-04-09|learning|||What **happened to** your car?|Something strange **happened to** me.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
hear about|verb|слышать о|2026-04-09|learning|||I **heard about** the accident.|Have you **heard about** the new shop?|Тема обсуждения или беспокойства: talk about, think about, worry about, complain about, dream about, anxious about, concerned about, doubts about. "О чём → ABOUT".
hear from|verb|получить известие от|2026-04-09|learning|||I haven't **heard from** him in weeks.|Have you **heard from** your sister?|Источник, происхождение, отделение: differ from, suffer from, recover from, escape from, hide from, far from, different from, absent from. "Откуда / отделение → FROM".
hope for|verb|надеяться на|2026-04-09|learning|||We **hope for** good weather.|She **hopes for** a promotion.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
insist on|verb|настаивать на|2026-04-09|learning|||He **insists on** paying.|She **insisted on** coming with us.|Часто означает зависимость, опору, тему: depend on, rely on, count on, focus on, comment on, insist on, congratulate on. Тебя учат: "когда есть зависимость или внимание к чему-то → ON".
invest in|verb|инвестировать в|2026-04-09|learning|||They **invested in** a new company.|She **invested in** education.|Область, погружение, участие: interested in, succeed in, believe in, specialize in, involved in, experienced in, increase in, decrease in. "В сфере/области/деятельности → IN".
laugh at|verb|смеяться над|2026-04-09|learning|||Don't **laugh at** him.|She **laughed at** his joke.|Точечная цель, объект внимания: laugh at, look at, point at, shout at, smile at, stare at, good at, bad at, terrible at. "На (точечно) / в (умении) → AT".
listen to|verb|слушать|2026-04-09|learning|||**Listen to** me carefully.|She **listens to** music every day.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
look at|verb|смотреть на|2026-04-09|learning|||**Look at** the board, please.|She **looked at** the photo.|Точечная цель, объект внимания: laugh at, look at, point at, shout at, smile at, stare at, good at, bad at, terrible at. "На (точечно) / в (умении) → AT".
object to|verb|возражать против|2026-04-09|learning|||She **objects to** the plan.|I **object to** being called lazy.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
operate on|verb|оперировать|2026-04-09|learning|||The doctor **operated on** her knee.|They **operated on** him for three hours.|Часто означает зависимость, опору, тему: depend on, rely on, count on, focus on, comment on, insist on, congratulate on. Тебя учат: "когда есть зависимость или внимание к чему-то → ON".
participate in|verb|участвовать в|2026-04-09|learning|||She **participates in** every class.|He **participated in** the competition.|Область, погружение, участие: interested in, succeed in, believe in, specialize in, involved in, experienced in, increase in, decrease in. "В сфере/области/деятельности → IN".
pay for|verb|платить за|2026-04-09|learning|||I'll **pay for** dinner.|She **paid for** the tickets.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
point at|verb|указывать на|2026-04-09|learning|||Don't **point at** people.|She **pointed at** the map.|Точечная цель, объект внимания: laugh at, look at, point at, shout at, smile at, stare at, good at, bad at, terrible at. "На (точечно) / в (умении) → AT".
prefer to|verb|предпочитать|2026-04-09|learning|||I **prefer** tea **to** coffee.|She **prefers** reading **to** watching TV.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
prepare for|verb|готовиться к|2026-04-09|learning|||She is **preparing for** the exam.|We need to **prepare for** the meeting.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
prevent from|verb|предотвращать, мешать|2026-04-09|learning|||The rain **prevented** us **from** going out.|Nothing can **prevent** me **from** trying.|Источник, происхождение, отделение: differ from, suffer from, recover from, escape from, hide from, far from, different from, absent from. "Откуда / отделение → FROM".
protect from|verb|защищать от|2026-04-09|learning|||The hat **protects** you **from** the sun.|She wants to **protect** her children **from** danger.|Источник, происхождение, отделение: differ from, suffer from, recover from, escape from, hide from, far from, different from, absent from. "Откуда / отделение → FROM".
provide with|verb|обеспечивать чем-то|2026-04-09|learning|||The hotel **provides** guests **with** towels.|She **provided** us **with** all the information.|Сопровождение, средство, отношение: agree with, deal with, struggle with, satisfied with, familiar with, fed up with. Запомни: "вместе с / посредством / по отношению к → WITH".
react to|verb|реагировать на|2026-04-09|learning|||How did she **react to** the news?|He **reacted to** the question calmly.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
recover from|verb|выздоравливать от|2026-04-09|learning|||She is **recovering from** the flu.|He **recovered from** the injury quickly.|Источник, происхождение, отделение: differ from, suffer from, recover from, escape from, hide from, far from, different from, absent from. "Откуда / отделение → FROM".
refer to|verb|ссылаться на|2026-04-09|learning|||He **referred to** the report.|She **refers to** the book often.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
rely on|verb|полагаться на|2026-04-09|learning|||You can **rely on** her.|I **rely on** my friends for support.|Часто означает зависимость, опору, тему: depend on, rely on, count on, focus on, comment on, insist on, congratulate on. Тебя учат: "когда есть зависимость или внимание к чему-то → ON".
remind of|verb|напоминать о|2026-04-09|learning|||She **reminds** me **of** my sister.|This song **reminds** me **of** summer.|Часто после прилагательных эмоций и существительных характеристик: afraid of, aware of, capable of, full of, proud of; cause of, lack of, reason of. Также после verbs: consist of, accuse of, remind of.
respond to|verb|отвечать на|2026-04-09|learning|||He didn't **respond to** my email.|She **responded to** the question.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
result from|verb|происходить из-за|2026-04-09|learning|||The delay **resulted from** bad weather.|Problems **result from** poor planning.|Источник, происхождение, отделение: differ from, suffer from, recover from, escape from, hide from, far from, different from, absent from. "Откуда / отделение → FROM".
result in|verb|приводить к|2026-04-09|learning|||The accident **resulted in** two injuries.|Stress can **result in** health problems.|Область, погружение, участие: interested in, succeed in, believe in, specialize in, involved in, experienced in, increase in, decrease in. "В сфере/области/деятельности → IN".
search for|verb|искать|2026-04-09|learning|||Police are **searching for** the thief.|She **searched for** her passport.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
shout at|verb|кричать на|2026-04-09|learning|||Don't **shout at** the children.|She **shouted at** him in anger.|Точечная цель, объект внимания: laugh at, look at, point at, shout at, smile at, stare at, good at, bad at, terrible at. "На (точечно) / в (умении) → AT".
smile at|verb|улыбаться кому-то|2026-04-09|learning|||She **smiled at** the baby.|He **smiled at** me warmly.|Точечная цель, объект внимания: laugh at, look at, point at, shout at, smile at, stare at, good at, bad at, terrible at. "На (точечно) / в (умении) → AT".
speak to|verb|говорить с|2026-04-09|learning|||I need to **speak to** you.|She **spoke to** the manager.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
spend on|verb|тратить на|2026-04-09|learning|||She **spends** a lot **on** clothes.|Don't **spend** too much **on** food.|Часто означает зависимость, опору, тему: depend on, rely on, count on, focus on, comment on, insist on, congratulate on. Тебя учат: "когда есть зависимость или внимание к чему-то → ON".
stare at|verb|пристально смотреть на|2026-04-09|learning|||Don't **stare at** strangers.|She **stared at** the screen.|Точечная цель, объект внимания: laugh at, look at, point at, shout at, smile at, stare at, good at, bad at, terrible at. "На (точечно) / в (умении) → AT".
succeed in|verb|преуспеть в|2026-04-09|learning|||She **succeeded in** passing the exam.|He **succeeded in** his career.|Область, погружение, участие: interested in, succeed in, believe in, specialize in, involved in, experienced in, increase in, decrease in. "В сфере/области/деятельности → IN".
suffer from|verb|страдать от|2026-04-09|learning|||She **suffers from** headaches.|He **suffers from** allergies.|Источник, происхождение, отделение: differ from, suffer from, recover from, escape from, hide from, far from, different from, absent from. "Откуда / отделение → FROM".
suspect of|verb|подозревать в|2026-04-09|learning|||The police **suspect** him **of** theft.|She was **suspected of** lying.|Часто после прилагательных эмоций и существительных характеристик: afraid of, aware of, capable of, full of, proud of; cause of, lack of, reason of. Также после verbs: consist of, accuse of, remind of.
talk about|verb|говорить о|2026-04-09|learning|||We **talked about** the problem.|She **talks about** her work a lot.|Тема обсуждения или беспокойства: talk about, think about, worry about, complain about, dream about, anxious about, concerned about, doubts about. "О чём → ABOUT".
talk to|verb|говорить с|2026-04-09|learning|||I need to **talk to** you.|She **talked to** her friend on the phone.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
thank for|verb|благодарить за|2026-04-09|learning|||I **thanked** her **for** the gift.|He **thanked** me **for** my help.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
think about|verb|думать о|2026-04-09|learning|||I'll **think about** it.|She **thinks about** the future a lot.|Тема обсуждения или беспокойства: talk about, think about, worry about, complain about, dream about, anxious about, concerned about, doubts about. "О чём → ABOUT".
think of|verb|думать о, придумать|2026-04-09|learning|||What do you **think of** this idea?|I can't **think of** his name.|Часто после прилагательных эмоций и существительных характеристик: afraid of, aware of, capable of, full of, proud of; cause of, lack of, reason of. Также после verbs: consist of, accuse of, remind of.
vote for|verb|голосовать за|2026-04-09|learning|||I **voted for** the green party.|She **voted for** the best candidate.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
wait for|verb|ждать|2026-04-09|learning|||I'm **waiting for** the bus.|She **waited for** him for an hour.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
warn about|verb|предупреждать о|2026-04-09|learning|||He **warned** me **about** the traffic.|She **warned** us **about** the weather.|Тема обсуждения или беспокойства: talk about, think about, worry about, complain about, dream about, anxious about, concerned about, doubts about. "О чём → ABOUT".
worry about|verb|беспокоиться о|2026-04-09|learning|||Don't **worry about** the exam.|She **worries about** her health.|Тема обсуждения или беспокойства: talk about, think about, worry about, complain about, dream about, anxious about, concerned about, doubts about. "О чём → ABOUT".
accused of|adjective|обвиняемый в|2026-04-09|learning|||He was **accused of** stealing.|She is **accused of** lying.|Часто после прилагательных эмоций и существительных характеристик: afraid of, aware of, capable of, full of, proud of; cause of, lack of, reason of. Также после verbs: consist of, accuse of, remind of.
addicted to|adjective|зависимый от|2026-04-09|learning|||He is **addicted to** his phone.|She is **addicted to** coffee.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
afraid of|adjective|бояться|2026-04-09|learning|||She is **afraid of** spiders.|Are you **afraid of** the dark?|Часто после прилагательных эмоций и существительных характеристик: afraid of, aware of, capable of, full of, proud of; cause of, lack of, reason of. Также после verbs: consist of, accuse of, remind of.
amazed at|adjective|поражённый|2026-04-09|learning|||I was **amazed at** the view.|She was **amazed at** his talent.|Точечная цель, объект внимания: laugh at, look at, point at, shout at, smile at, stare at, good at, bad at, terrible at. "На (точечно) / в (умении) → AT".
angry about|adjective|злой из-за|2026-04-09|learning|||She is **angry about** the decision.|He was **angry about** the delay.|Тема обсуждения или беспокойства: talk about, think about, worry about, complain about, dream about, anxious about, concerned about, doubts about. "О чём → ABOUT".
angry with|adjective|злой на|2026-04-09|learning|||She is **angry with** her brother.|Don't be **angry with** me.|Сопровождение, средство, отношение: agree with, deal with, struggle with, satisfied with, familiar with, fed up with. Запомни: "вместе с / посредством / по отношению к → WITH".
annoyed about|adjective|раздражённый из-за|2026-04-09|learning|||I'm **annoyed about** the noise.|She was **annoyed about** the mistake.|Тема обсуждения или беспокойства: talk about, think about, worry about, complain about, dream about, anxious about, concerned about, doubts about. "О чём → ABOUT".
annoyed with|adjective|раздражённый на|2026-04-09|learning|||I'm **annoyed with** my neighbour.|She is **annoyed with** herself.|Сопровождение, средство, отношение: agree with, deal with, struggle with, satisfied with, familiar with, fed up with. Запомни: "вместе с / посредством / по отношению к → WITH".
anxious about|adjective|тревожный из-за|2026-04-09|learning|||She is **anxious about** the exam.|He was **anxious about** his interview.|Тема обсуждения или беспокойства: talk about, think about, worry about, complain about, dream about, anxious about, concerned about, doubts about. "О чём → ABOUT".
ashamed of|adjective|стыдиться|2026-04-09|learning|||He is **ashamed of** his behaviour.|She was **ashamed of** what she said.|Часто после прилагательных эмоций и существительных характеристик: afraid of, aware of, capable of, full of, proud of; cause of, lack of, reason of. Также после verbs: consist of, accuse of, remind of.
associated with|adjective|связанный с|2026-04-09|learning|||Smoking is **associated with** cancer.|This brand is **associated with** quality.|Сопровождение, средство, отношение: agree with, deal with, struggle with, satisfied with, familiar with, fed up with. Запомни: "вместе с / посредством / по отношению к → WITH".
aware of|adjective|осознающий|2026-04-09|learning|||Are you **aware of** the problem?|She is **aware of** the risks.|Часто после прилагательных эмоций и существительных характеристик: afraid of, aware of, capable of, full of, proud of; cause of, lack of, reason of. Также после verbs: consist of, accuse of, remind of.
bad at|adjective|плохо в чём-то|2026-04-09|learning|||I'm **bad at** cooking.|She is **bad at** maths.|Точечная цель, объект внимания: laugh at, look at, point at, shout at, smile at, stare at, good at, bad at, terrible at. "На (точечно) / в (умении) → AT".
based on|adjective|основанный на|2026-04-09|learning|||The film is **based on** a true story.|Her decision was **based on** facts.|Часто означает зависимость, опору, тему: depend on, rely on, count on, focus on, comment on, insist on, congratulate on. Тебя учат: "когда есть зависимость или внимание к чему-то → ON".
bored with|adjective|скучающий от|2026-04-09|learning|||She is **bored with** her job.|I'm **bored with** this game.|Сопровождение, средство, отношение: agree with, deal with, struggle with, satisfied with, familiar with, fed up with. Запомни: "вместе с / посредством / по отношению к → WITH".
capable of|adjective|способный на|2026-04-09|learning|||She is **capable of** great things.|He is **capable of** doing the work.|Часто после прилагательных эмоций и существительных характеристик: afraid of, aware of, capable of, full of, proud of; cause of, lack of, reason of. Также после verbs: consist of, accuse of, remind of.
careful with|adjective|осторожный с|2026-04-09|learning|||Be **careful with** the glass.|She is **careful with** money.|Сопровождение, средство, отношение: agree with, deal with, struggle with, satisfied with, familiar with, fed up with. Запомни: "вместе с / посредством / по отношению к → WITH".
certain about|adjective|уверенный в|2026-04-09|learning|||Are you **certain about** this?|I'm **certain about** my decision.|Тема обсуждения или беспокойства: talk about, think about, worry about, complain about, dream about, anxious about, concerned about, doubts about. "О чём → ABOUT".
close to|adjective|близкий к|2026-04-09|learning|||She is very **close to** her mother.|The school is **close to** our house.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
concerned about|adjective|обеспокоенный чем-то|2026-04-09|learning|||She is **concerned about** his health.|I'm **concerned about** the results.|Тема обсуждения или беспокойства: talk about, think about, worry about, complain about, dream about, anxious about, concerned about, doubts about. "О чём → ABOUT".
confident about|adjective|уверенный в|2026-04-09|learning|||She is **confident about** the exam.|I feel **confident about** the plan.|Тема обсуждения или беспокойства: talk about, think about, worry about, complain about, dream about, anxious about, concerned about, doubts about. "О чём → ABOUT".
connected to|adjective|связанный с|2026-04-09|learning|||The printer is **connected to** the computer.|This issue is **connected to** the budget.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
conscious of|adjective|осознающий|2026-04-09|learning|||She is **conscious of** her mistakes.|Be **conscious of** your body language.|Часто после прилагательных эмоций и существительных характеристик: afraid of, aware of, capable of, full of, proud of; cause of, lack of, reason of. Также после verbs: consist of, accuse of, remind of.
content with|adjective|довольный чем-то|2026-04-09|learning|||She is **content with** her life.|I'm **content with** my salary.|Сопровождение, средство, отношение: agree with, deal with, struggle with, satisfied with, familiar with, fed up with. Запомни: "вместе с / посредством / по отношению к → WITH".
crazy about|adjective|без ума от|2026-04-09|learning|||She is **crazy about** chocolate.|He is **crazy about** football.|Тема обсуждения или беспокойства: talk about, think about, worry about, complain about, dream about, anxious about, concerned about, doubts about. "О чём → ABOUT".
cruel to|adjective|жестокий к|2026-04-09|learning|||Don't be **cruel to** animals.|She was **cruel to** her sister.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
curious about|adjective|любопытный о|2026-04-09|learning|||I'm **curious about** his past.|She is **curious about** other cultures.|Тема обсуждения или беспокойства: talk about, think about, worry about, complain about, dream about, anxious about, concerned about, doubts about. "О чём → ABOUT".
delighted with|adjective|в восторге от|2026-04-09|learning|||She was **delighted with** the gift.|I'm **delighted with** the results.|Сопровождение, средство, отношение: agree with, deal with, struggle with, satisfied with, familiar with, fed up with. Запомни: "вместе с / посредством / по отношению к → WITH".
delighted by|adjective|в восторге от (вызвано)||||She was **delighted by** the surprise.|He was **delighted by** the news.|We were **delighted by** the welcome.|
different from|adjective|отличающийся от|2026-04-09|learning|||English is **different from** Russian.|This is **different from** what I expected.|Источник, происхождение, отделение: differ from, suffer from, recover from, escape from, hide from, far from, different from, absent from. "Откуда / отделение → FROM".
disappointed with|adjective|разочарованный в|2026-04-09|learning|||I'm **disappointed with** the service.|She was **disappointed with** her mark.|Сопровождение, средство, отношение: agree with, deal with, struggle with, satisfied with, familiar with, fed up with. Запомни: "вместе с / посредством / по отношению к → WITH".
engaged to|adjective|обручён с|2026-04-09|learning|||She is **engaged to** a doctor.|He got **engaged to** his girlfriend.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
enthusiastic about|adjective|полный энтузиазма|2026-04-09|learning|||She is **enthusiastic about** the project.|He is **enthusiastic about** learning.|Тема обсуждения или беспокойства: talk about, think about, worry about, complain about, dream about, anxious about, concerned about, doubts about. "О чём → ABOUT".
envious of|adjective|завистливый|2026-04-09|learning|||She is **envious of** her friend's success.|Don't be **envious of** others.|Часто после прилагательных эмоций и существительных характеристик: afraid of, aware of, capable of, full of, proud of; cause of, lack of, reason of. Также после verbs: consist of, accuse of, remind of.
excellent at|adjective|отличный в|2026-04-09|learning|||She is **excellent at** cooking.|He is **excellent at** maths.|Точечная цель, объект внимания: laugh at, look at, point at, shout at, smile at, stare at, good at, bad at, terrible at. "На (точечно) / в (умении) → AT".
excited about|adjective|взволнованный из-за|2026-04-09|learning|||She is **excited about** the trip.|I'm **excited about** starting the new job.|Тема обсуждения или беспокойства: talk about, think about, worry about, complain about, dream about, anxious about, concerned about, doubts about. "О чём → ABOUT".
experienced in|adjective|опытный в|2026-04-09|learning|||She is **experienced in** marketing.|He is **experienced in** teaching.|Область, погружение, участие: interested in, succeed in, believe in, specialize in, involved in, experienced in, increase in, decrease in. "В сфере/области/деятельности → IN".
faithful to|adjective|верный|2026-04-09|learning|||He is **faithful to** his wife.|She stayed **faithful to** her promise.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
familiar with|adjective|знакомый с|2026-04-09|learning|||Are you **familiar with** this software?|She is **familiar with** the area.|Сопровождение, средство, отношение: agree with, deal with, struggle with, satisfied with, familiar with, fed up with. Запомни: "вместе с / посредством / по отношению к → WITH".
famous for|adjective|известный чем-то|2026-04-09|learning|||Paris is **famous for** the Eiffel Tower.|She is **famous for** her cooking.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
